"","sit1","sit2","sit3","sit4","sit5"
"sit1",0,1.04251017575763,3.4304270254423,2.56494827107111,3.99477590047848
"sit2",1.04251017575763,0,3.23503205691808,1.55601591045665,3.00066796404457
"sit3",3.4304270254423,3.23503205691808,0,3.97837538799142,3.48590683992337
"sit4",2.56494827107111,1.55601591045665,3.97837538799142,0,2.04480428171218
"sit5",3.99477590047848,3.00066796404457,3.48590683992337,2.04480428171218,0
