"","LAZ","LIG","POL","TOS","VAO"
"LAZ",0,0.165542750793147,0.130704919853972,0.189810901516905,0.263156597477865
"LIG",0.165542750793147,0,0.0404354142718137,0.118415604133629,0.13258317178334
"POL",0.130704919853972,0.0404354142718137,0,0.100111558994178,0.115345047950562
"TOS",0.189810901516905,0.118415604133629,0.100111558994178,0,0.197683415799469
"VAO",0.263156597477865,0.13258317178334,0.115345047950562,0.197683415799469,0
