"","sit1","sit2","sit3","sit4","sit5"
"sit1",0,3.32852566889098,2.31645006137282,3.43562985051168,4.15341141203772
"sit2",3.32852566889098,0,2.18242447392683,4.22545265160446,2.50953514400714
"sit3",2.31645006137282,2.18242447392683,0,2.09348056177673,1.84715405436092
"sit4",3.43562985051168,4.22545265160446,2.09348056177673,0,2.6895137032347
"sit5",4.15341141203772,2.50953514400714,1.84715405436092,2.6895137032347,0
