"","cVIC","eVIC","FI","MI","NSW","SA","TAS"
"cVIC",0,0.0558411586530545,0.159944726291631,0.165006283342547,0.080943455511305,0.111352262657949,0.236424066215465
"eVIC",0.0558411586530545,0,0.162691103110698,0.169142042871472,0.0622235873271491,0.125559334746256,0.239026823715049
"FI",0.159944726291631,0.162691103110698,0,0.0260051434794058,0.16474841003609,0.241021730657172,0.205674328302056
"MI",0.165006283342547,0.169142042871472,0.0260051434794058,0,0.170762052621954,0.250533338240945,0.208698382447023
"NSW",0.080943455511305,0.0622235873271491,0.16474841003609,0.170762052621954,0,0.136069633461419,0.23608432170985
"SA",0.111352262657949,0.125559334746256,0.241021730657172,0.250533338240945,0.136069633461419,0,0.243547996032372
"TAS",0.236424066215465,0.239026823715049,0.205674328302056,0.208698382447023,0.23608432170985,0.243547996032372,0
