"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30","sit31","sit32","sit33","sit34","sit35","sit36","sit37","sit38","sit39","sit40","sit41","sit42","sit43","sit44","sit45","sit46","sit47","sit48","sit49","sit50","sit51","sit52","sit53","sit54","sit55","sit56","sit57","sit58","sit59","sit60","sit61","sit62","sit63","sit64","sit65","sit66","sit67","sit68","sit69","sit70","sit71","sit72","sit73","sit74","sit75","sit76","sit77","sit78","sit79","sit80","sit81","sit82","sit83","sit84","sit85","sit86","sit87","sit88","sit89","sit90","sit91","sit92","sit93","sit94","sit95","sit96","sit97","sit98","sit99","sit100","sit101","sit102","sit103"
"sit1",0,1.76677664882665,1.77291955572859,1.64379585058389,1.6243151486158,2.90917713441055,1.49309669420044,1.84937200799802,1.8024293179319,1.84969780850484,2.12318880554401,1.35916259074293,1.49646197340108,1.63975666259798,1.54212646612837,1.90162934783067,1.49481294475978,1.60448942588565,1.53361369251204,1.79365489686925,1.35078101358698,5.69491421585195,1.86384795284394,2.64757601245406,1.75869020866801,2.07434045542695,1.54363945866674,1.2283578536255,2.49592098167434,1.20462257173646,1.6964895966583,1.14398968140277,2.36032760923588,1.46790634718192,2.28260393287118,1.45139891539027,3.02324943506629,1.78213260797658,3.15384282974604,2.38179776800611,2.30102960955023,1.69356455656691,1.63039942969238,2.97445863743554,2.61900862230452,1.25134751441403,2.60934458702555,2.52679252778099,1.18749813926913,1.91601991839982,1.431397917614,2.54504253143638,2.55320988036864,1.67598431526426,2.40446595937029,1.76890676115985,1.62273956304202,1.64432359569622,1.50802054799441,2.63227965189604,2.11954431602792,1.29402049324012,1.17680887164759,1.92842960577364,2.31589531537291,3.15470509367438,1.3194940130752,1.32703194482362,2.81102727519672,1.79665334710433,1.6807615841214,1.60220106381063,2.91022599744738,1.57399896089641,2.88678245946589,1.38578486386321,1.26983797801254,2.3211547124629,2.3054089089156,1.08346929957741,1.44054570146851,2.41958331603447,2.59443637377657,2.4880457346399,2.07836475096709,2.3441736805791,0.860943048376701,1.03581603615606,1.60420311124503,1.67747102302914,2.50522868678122,2.44766195728945,2.55810331698594,2.17184320450672,2.2645693550519,1.80125619875749,2.23475001041274,1.76646416793227,1.28147809236231,2.24915198788138,0.370267495763971,3.46456243751691,0.952385953017639
"sit2",1.76677664882665,0,0.868720801049924,0.299482491895754,1.04356211436099,1.56812034657057,1.55292596807761,0.0870037588875992,0.0557433991740061,0.10446793091102,0.624637889645703,0.805918268517723,0.793255028884327,1.02851781020879,0.333019956538552,0.167165521591649,1.1798992554934,0.81043148013822,1.02133889102044,1.56095015784306,0.828973925511467,4.6685609551023,0.0976105148675751,1.85588943295303,0.217841743983059,0.946423747240846,0.82498374128564,0.540086110047312,0.895061804268066,0.598577799388698,0.581851190119317,1.01180920987961,0.784285974102732,0.555891170900451,1.18721816986462,0.328984433899408,1.30813037535279,0.435844490592192,1.79681101130229,0.625564900484457,0.537060732828055,0.145391042490943,0.170301904497371,1.24508210234643,0.937048479722136,0.790762569732417,0.855776267262644,1.44982940309575,0.580426204119953,1.68789388769162,0.553130179874013,1.62787651240093,0.802691875589821,1.09329392427993,0.650970510712763,1.14650609850927,0.163294346125165,0.766200356696984,1.00395255585934,1.01392803647986,1.71486394208762,0.642294536855487,0.638714502769904,0.422957731531889,0.564945271581919,1.43595244016119,1.00313131077463,0.957330121821715,1.05475543992762,0.776038274382112,0.180343726395064,0.204211930503512,1.21550325830632,1.61545357704119,1.30134169968308,0.637906305011505,1.07164301532073,0.570871903586713,1.13428840743803,0.969707605809044,1.01818653966939,0.715196903059965,1.05882860107828,0.946662286274377,0.312570817563261,1.0935447864018,0.955060412033686,0.991975526775968,0.53908590059803,0.302335000457622,0.761888217546513,1.37663507941051,0.81108353745712,0.427359879348562,0.527558592163745,0.259866173077107,0.478073533278301,0.806019252192918,1.25130717391058,0.483651906694776,1.48200630404875,1.96953368544215,1.02133070247971
"sit3",1.77291955572859,0.868720801049924,0,1.10795186798642,0.257831404128644,1.13695495163108,0.828491529567461,0.865576974705233,0.919443434637037,0.953515876355371,0.5669134071152,0.419204938089786,0.281673430746883,0.234283990286662,0.615516882819615,1.00512290489034,0.460801583144727,0.171715119496449,0.308116320005059,0.729209706107356,0.424274504969372,4.0522171809256,0.88696424942129,1.06162572841354,0.653809116851509,0.304912199496931,0.22990088223146,0.939387787850644,0.890856346266711,0.767502424716883,0.288718580886681,0.637376022151115,0.770295033427388,0.448068091456915,0.516995360556345,0.934972092642561,1.94226349421962,0.442979041966926,1.38102778764028,1.27419256620825,1.07647318065055,0.975165988439814,0.748758221646503,1.85922734744752,1.08236127953451,0.538434869949717,1.46316008722368,0.78136278646095,0.894788321293833,0.840271892219421,0.48705503010353,0.872770760827495,1.18170224167655,0.273237292198076,1.30320187448408,0.291144776308274,0.772354810729715,0.152877302644644,0.317861067806402,1.01465105809581,0.846529568490992,0.572383533160314,1.11652724326962,0.545551126696101,1.24736700303577,2.05041396094777,0.478993916549468,0.457521779030083,1.61667353043277,0.104689977420619,1.00455750741368,0.729563195223953,1.89091574859381,0.86192743007118,1.20318078422732,0.467544552149915,0.550503038616286,1.25366620774822,0.532547903102862,0.689512459952587,0.382315495756755,1.44995129975694,0.91319918076567,0.831566157166407,1.01335263837628,0.575822459935961,0.962553343606807,0.737135172955424,0.360808136605394,0.571012350745721,1.41905664649731,0.699021139410084,1.44844722698234,0.921139342423516,0.950015695659628,1.12532816031784,1.16690688599821,0.063321825448626,0.657432418646241,1.05910921912304,1.64544891237391,1.70614980947778,0.820802395169634
"sit4",1.64379585058389,0.299482491895754,1.10795186798642,0,1.24345124340018,1.86734547642491,1.69791598306097,0.368359466522755,0.283189523902391,0.300058167606722,0.924006003162651,0.945699741021655,0.972874869754248,1.23228887002082,0.501190313790231,0.319220750925386,1.34713119340225,1.01706689117947,1.20363558543934,1.75428528884137,0.967113402499729,4.96792574484739,0.364290219143363,2.13131064672951,0.494750472446399,1.22631385998797,1.0163297480879,0.455541263565352,1.18341190501821,0.609485944091875,0.820858554961868,1.09796946048633,1.07845900645261,0.718757370988122,1.47300490230378,0.24855608122783,1.37946724470743,0.704679722295291,2.09500248010397,0.766473544261414,0.751461797998744,0.154628597083666,0.36051642409495,1.33212178458622,1.2037386704029,0.892582843349034,0.983613546073667,1.74007713758454,0.524644231722028,1.88916507570907,0.699366000235964,1.90933253069172,1.02951951067968,1.30021365338016,0.784677633235815,1.36653370903435,0.336258231494119,0.984076140957844,1.18136974883513,1.29628882839402,1.94220160642953,0.737522642978699,0.467174841374991,0.718273109005555,0.697042324778387,1.51094042073674,1.13611552389674,1.09189720108926,1.18449234283143,1.02580169966878,0.119513593577824,0.37840676691756,1.26731610383288,1.76946409010841,1.58431769663969,0.774730340193355,1.19258663322512,0.70133905821411,1.42492477552079,1.03370718830565,1.18001567867051,0.776711139396819,1.35237553627712,1.24137003211522,0.512859489414093,1.38869248071864,0.918385469357629,1.04288021461758,0.752376021549237,0.543895927115584,0.873476494707327,1.66507817474294,0.927725797960952,0.68322713306786,0.782765991887523,0.159818842592005,0.628179392408014,1.04800854747021,1.37241621800795,0.695209831478953,1.32288761037247,2.25736079393916,1.04783544570549
"sit5",1.6243151486158,1.04356211436099,0.257831404128644,1.24345124340018,0,1.32124507095068,0.572487945642983,1.05692231166535,1.09776945407388,1.13817035120823,0.823263043903179,0.36359830131675,0.276436282220737,0.0238357660779254,0.743236366028666,1.1949584792265,0.204887401972927,0.233208493568695,0.0912743418307088,0.517395273041556,0.353875040654456,4.11469319891154,1.0793666186061,1.0720770422803,0.84147734154016,0.525758584947088,0.227513416881918,0.983824618378245,1.14680719651259,0.78530927953866,0.476915350503085,0.485448429765212,1.02776207982692,0.527986173080487,0.676578563011519,1.03661496794803,2.18655273951763,0.652083425110376,1.55814368730735,1.50828596155108,1.31678930085816,1.12830453252104,0.899526809995414,2.10501508364091,1.33993483327999,0.481519202649931,1.70554710873599,0.904150737891345,0.923938135187285,0.647052983854336,0.554570243206935,0.930926685471455,1.4359923563042,0.0651952315771017,1.53749618868171,0.15993887672775,0.920255620521337,0.282541158927061,0.119210850642519,1.26847292286762,0.712353362461948,0.581450444280896,1.15440645419448,0.778915524675591,1.4762197805653,2.29739862338675,0.306714968208665,0.308989611183935,1.8650996140633,0.354182458848761,1.15336536440788,0.873713506901984,2.12977946061713,0.611098927620245,1.44456243672747,0.4970445101591,0.356272023424246,1.482625947182,0.719755220349675,0.562856579449769,0.183994941838507,1.67444467989288,1.15933596451127,1.08324101648588,1.23066594345113,0.784322953484513,0.881017674579096,0.608447516491125,0.504609201244176,0.741934725435328,1.65495438160563,0.826564174184809,1.68727554058206,1.15864040625727,1.19563782139977,1.28850322947018,1.39250698309968,0.305539474335892,0.418462305424296,1.29501330294036,1.54558755096822,1.90863592194644,0.694215264901034
"sit6",2.90917713441055,1.56812034657057,1.13695495163108,1.86734547642491,1.32124507095068,0,1.75361288308772,1.50240527415673,1.5876704910076,1.58448396230417,0.946703670570308,1.55086772673383,1.41308980930447,1.30105117966957,1.53327245241328,1.59556209736709,1.50247582765772,1.30469707007015,1.40489390052134,1.48016921931913,1.55852080767856,3.10692530420159,1.51063006720815,0.859668304724878,1.40032941473255,0.834987521249239,1.36562592477062,1.92995944282261,0.744947043602193,1.81671826613571,1.25364071220952,1.77282968635228,0.807786232500835,1.49164946402699,0.645735762290792,1.8201884245439,1.85809204226556,1.24446325707993,0.246664847744374,1.48606351777193,1.30746733508396,1.71349332790103,1.5662098065542,1.769549014783,0.866850932347053,1.66354998674593,1.52122459669115,0.492650663712896,1.91353175290482,1.48270747818431,1.53339895692235,0.675265465325238,1.14667873427791,1.28631290137788,1.50290542177307,1.21260127160261,1.58933986329606,1.26665669765473,1.42538710917182,0.699969789408316,1.29938735796657,1.65648908786086,2.09530093275701,1.16496464489725,1.51567900986345,1.90601706362594,1.6065352840961,1.59080355441432,1.54246437672772,1.11620219879491,1.74846240186181,1.57092876641568,1.88693547120086,1.73668544980979,0.532642803069827,1.55279026099818,1.67026375914061,1.51884635705857,0.606315337757009,1.82621387782539,1.49467914236431,1.69060839514659,0.559748985689851,0.651178930282975,1.45619961667853,0.566950781979469,2.08083225848396,1.87377083580503,1.35663820630517,1.40836251335123,1.56469045630851,0.540159848488663,1.55345376558607,1.25896036893473,1.18740696519015,1.78763828823136,1.49088857217673,1.14344651377187,1.73230939699725,1.34174927953967,2.76163001138777,0.600662271800188,1.95679250517944
"sit7",1.49309669420044,1.55292596807761,0.828491529567461,1.69791598306097,0.572487945642983,1.75361288308772,0,1.58234877699726,1.60863487332371,1.65427289739424,1.39524939309269,0.754614040899094,0.76441241678502,0.595355540305677,1.22574187375291,1.71481447055739,0.384115157597185,0.779585425204809,0.552581084825168,0.323025815546597,0.732444648587999,4.22820167796616,1.60513893407219,1.22433180440262,1.37158860429564,1.05832592206944,0.744388213485446,1.33536205897815,1.7073931615098,1.12974568563339,1.02871689847216,0.637862707540429,1.5936565691773,0.998634522331238,1.12927598087969,1.46144029738228,2.75304362765199,1.20549169951884,1.96761878405484,2.06765822420772,1.88208215743384,1.61004494454546,1.39182743299216,2.67281891388235,1.90566627124425,0.810486558438752,2.27127759286805,1.27525236830133,1.26110884907458,0.426137522944632,1.00778868547211,1.19525795095348,2.00847046091135,0.559245828339932,2.0969017516217,0.585894262015753,1.40818498802177,0.838184282817341,0.561828090566088,1.82311836958418,0.643567204169815,0.962752001112462,1.47586314029337,1.34349776400709,2.03101505858238,2.865952123707,0.561808407800414,0.606131089965244,2.43501857882166,0.926663664733045,1.62878866401318,1.36105515758408,2.69146322659519,0.0885408318538345,1.97213387914593,0.926815932778302,0.510394794916206,2.03747704891832,1.19921726468275,0.727612159415448,0.535948901785347,2.22358479180045,1.69965626391793,1.63479395222853,1.77713620408964,1.28371225867557,1.03025052593134,0.7464326329737,1.0286227756486,1.26346571244892,2.21528221335658,1.21560543540345,2.25008300243321,1.72264775269523,1.76481320045492,1.77531110526882,1.9449159774592,0.878024894071386,0.340619338367622,1.85704034324346,1.54995721620462,2.35426531881844,0.800467782301516
"sit8",1.84937200799802,0.0870037588875992,0.865576974705233,0.368359466522755,1.05692231166535,1.50240527415673,1.58234877699726,0,0.0854959757790399,0.092982738196408,0.565775569139275,0.844705070442321,0.818485936621921,1.04040369171239,0.381432447105849,0.139576939250381,1.2044636959019,0.824236293940581,1.04202405843407,1.57296223593208,0.86785018052539,4.6065262304966,0.0227901580901827,1.82417179753269,0.215495502785201,0.914991326581828,0.845003454407639,0.624530625529886,0.816624549248584,0.671554667409282,0.584837616348495,1.06260716821099,0.710099559705073,0.59365319236781,1.14884056911177,0.415835896681124,1.24277206127787,0.423740692464722,1.72787273982167,0.55281299871727,0.452343949208153,0.219961646231955,0.232483191257663,1.17687250789449,0.851973053360666,0.840781598373565,0.782507681233596,1.40585376489084,0.662041772500288,1.69606521473183,0.596544788637786,1.59193364786305,0.716035450560919,1.10311174350024,0.579305041999593,1.14990081027592,0.232635667033079,0.775678710889893,1.02670619345849,0.932857408908426,1.71139041548694,0.697294393638833,0.725714053338746,0.379780684041409,0.495559417327281,1.36916576351769,1.04097942104864,0.995295456209524,0.979551820828263,0.768257552473285,0.253136882655198,0.265768772788446,1.15499857335451,1.64155908880096,1.22070343925988,0.68151648169649,1.11229025253655,0.501714923262797,1.09090772627262,1.02633590655051,1.04640175043217,0.659223083283939,0.984080331183265,0.873015441394025,0.235503734563236,1.04413510822831,1.03029219569707,1.05126670965055,0.556963141879827,0.319201896851599,0.693174177251812,1.33483965239123,0.740598081543671,0.340417955005041,0.440721450294092,0.295000135095605,0.406954158480106,0.80229601390343,1.29018183273068,0.399812222046319,1.56766751893431,1.89123176500096,1.085353252791
"sit9",1.8024293179319,0.0557433991740061,0.919443434637037,0.283189523902391,1.09776945407388,1.5876704910076,1.60863487332371,0.0854959757790399,0,0.0514579069430187,0.649395293818062,0.861568589655429,0.848669606217832,1.08249212018419,0.388357049201138,0.11358835154987,1.23535772067017,0.864577689302762,1.07644290509365,1.61510384979761,0.884616144906373,4.6913596799117,0.0820199628855261,1.89707081756986,0.266151173024528,0.987301405959191,0.879943818650924,0.574115387979069,0.900757520767585,0.645292930638816,0.633667130440888,1.06610632065858,0.795369554374853,0.611618719025687,1.22494544469994,0.355429397352412,1.25999032479259,0.483053155427836,1.81336134875393,0.583090245253053,0.509390467496843,0.138079952871615,0.224448124352819,1.19848269122793,0.930154499143689,0.845321662976532,0.812992860297623,1.48467103658831,0.619128942190768,1.74144218482636,0.608615566918909,1.66700129591964,0.780633757300451,1.14695636073278,0.607617445468893,1.19895961186086,0.215385645665685,0.819593650978867,1.05923959333054,1.01551459846463,1.76591236741333,0.696060752431596,0.660668817327455,0.456973758624143,0.520466140269366,1.38844368233548,1.05878949694194,1.0129894378824,1.01315166718972,0.825388031121354,0.1697264235776,0.258115669928532,1.1653240184406,1.67104391945137,1.30351482013313,0.693325999809393,1.12714241761611,0.52622135518067,1.16932438240244,1.02276146656004,1.07382028833503,0.664020012244282,1.06919519996963,0.958318321489961,0.276768836300058,1.12502235481135,0.99943387922338,1.04426273517303,0.593543174240251,0.355982198223827,0.716298865463422,1.41265562196477,0.766468934196003,0.413177568870935,0.513962801344551,0.216984569604964,0.435265592778147,0.856525314312107,1.30688918609721,0.454517109952233,1.51121173232002,1.97514659905928,1.07193713532141
"sit10",1.84969780850484,0.10446793091102,0.953515876355371,0.300058167606722,1.13817035120823,1.58448396230417,1.65427289739424,0.092982738196408,0.0514579069430187,0,0.653788842261703,0.909240587092503,0.892737406359369,1.12236878397778,0.437188646038266,0.0627174235205825,1.2794621425428,0.905008753785627,1.11927280474073,1.65517077302972,0.932328606563032,4.69029392085166,0.0770564660858086,1.91714146948159,0.300114354045555,1.00797123328424,0.922438692720271,0.621414036007332,0.885928828327957,0.696512086344051,0.670041979340629,1.11626318657118,0.785830693774332,0.658736772283604,1.24148079941457,0.400128943530495,1.20873298364734,0.513410003053894,1.80706211390184,0.533855263682344,0.469300565041095,0.169640926385355,0.274657507212091,1.14755504736254,0.904445490563116,0.895229879659352,0.763444096017366,1.49758546876191,0.668208898315885,1.7801160511821,0.657004268477781,1.68471766819359,0.74357336342202,1.18611432259168,0.557976243408006,1.23570822901818,0.26644690360287,0.858478703826542,1.10270729483464,0.996745603291191,1.7999097748185,0.746594858878567,0.701613147859559,0.472470851113404,0.470452949295226,1.3372965825482,1.1063831318056,1.06058275026607,0.964007546427506,0.857513157045413,0.196442557225431,0.308495260094506,1.11386780785321,1.71574412659932,1.28470718710931,0.741881084755937,1.17541156916253,0.476135191490313,1.18287736644689,1.07367240516907,1.11891366791837,0.612585653141799,1.05813264514233,0.948734481617741,0.232782653762911,1.13474479611412,1.05010047662894,1.09543296710775,0.63503965842992,0.396549264279388,0.665758161671978,1.42698525866395,0.716238253428414,0.3844247390672,0.484682487821012,0.205307578824289,0.38610997584161,0.890350064457419,1.35483830099778,0.41369684097459,1.55529827847002,1.95868173385112,1.12337094218075
"sit11",2.12318880554401,0.624637889645703,0.5669134071152,0.924006003162651,0.823263043903179,0.946703670570308,1.39524939309269,0.565775569139275,0.649395293818062,0.653788842261703,0,0.827168143329197,0.718236671424841,0.8001148787711,0.618119470705075,0.676641106379937,1.02208910774397,0.647579750242084,0.8590930280441,1.27462533573469,0.845071791949771,4.04393101157649,0.577277088410579,1.30365454640238,0.456169474884852,0.43486731560545,0.702813783209805,1.01250734081839,0.374976734234798,0.939896828996207,0.446642145599692,1.0862663420362,0.239182177870235,0.656943939152273,0.620678854911433,0.878753328187785,1.3939656129803,0.343168621858234,1.18071746696366,0.764700222162551,0.555032931170778,0.769493139679533,0.623342174327258,1.30812149226294,0.534152710646262,0.901358120612505,0.924001346442941,0.855982722948676,1.01024048007071,1.36744969973257,0.69209900377171,1.06137823437097,0.616359293885634,0.839037690821827,0.791916840375681,0.838718656247618,0.645626065354423,0.586882893130965,0.860369134081963,0.511305484542207,1.31719884031944,0.830037966406639,1.16714059466282,0.222811217474918,0.756236127146199,1.4960065719239,0.974955270821216,0.938489479958943,1.06115364157029,0.46975661653798,0.80459525649769,0.63146175841044,1.35550273527628,1.42808121835461,0.766922976513069,0.745232241839251,1.05432800653137,0.76183930743087,0.548074527241943,1.09980214113762,0.913141036448918,0.962998071677546,0.48245098097767,0.370431830468379,0.584991536074009,0.486838142561935,1.26252421385327,1.14174637700333,0.524436220314407,0.482290508011074,0.899181523911977,0.7913687071713,0.919416624071413,0.423188910713538,0.415193419235153,0.859075145169459,0.692016375780804,0.518583884724975,1.19602544998073,0.555082468698802,1.91160423085567,1.39447590428427,1.20959257683389
"sit12",1.35916259074293,0.805918268517723,0.419204938089786,0.945699741021655,0.36359830131675,1.55086772673383,0.754614040899094,0.844705070442321,0.861568589655429,0.909240587092503,0.827168143329197,0,0.138078867017355,0.364988573691031,0.474316018436499,0.971098873835312,0.406391661664708,0.247785648745329,0.290621377028563,0.827618994556608,0.0231454008686545,4.45210690649384,0.867285894407901,1.42475874365669,0.644913110423013,0.715919828473521,0.190638862735378,0.629624534405866,1.19741987858805,0.425923525601,0.381425773933361,0.259249260551843,1.06360115102226,0.251106251897349,0.935909416491958,0.71586965178244,2.06205287323073,0.530785922268811,1.79624561609061,1.36535953030102,1.20180241064639,0.855648524946949,0.640633764517596,1.98807508897192,1.35916430910493,0.123627667754606,1.58383524738535,1.19626128892213,0.565438604258008,0.969021344129747,0.254281373254774,1.26366693833521,1.38298404624499,0.42879269709756,1.39413367690998,0.521062391629509,0.65567824891531,0.285259913519459,0.262180932077546,1.33174282775302,1.06678616608585,0.226738435549472,0.795720195236453,0.689027189042645,1.31973619446823,2.18264130381369,0.197230827988122,0.151438808716249,1.76484880435739,0.438017252336545,0.874175109903091,0.608904104149653,1.98641289580292,0.824069963422265,1.55929558441341,0.172202029238569,0.267850037861782,1.326186842035,0.949943557195735,0.282311185155348,0.240201638572924,1.50026879407999,1.26400298721752,1.16605948664295,1.05744956552174,0.985111733004552,0.54583117864302,0.328414070078137,0.326247568815842,0.533521165912715,1.51271008922392,1.11441661178887,1.55352517553917,1.04310326562473,1.10705677255824,1.02098902146836,1.23096198358502,0.407480973832745,0.445756648771145,1.16669156808834,1.22735061407218,2.10778622433403,0.407955048216199
"sit13",1.49646197340108,0.793255028884327,0.281673430746883,0.972874869754248,0.276436282220737,1.41308980930447,0.76441241678502,0.818485936621921,0.848669606217832,0.892737406359369,0.718236671424841,0.138078867017355,0,0.270033317389588,0.476790881801265,0.952408172196753,0.386740234673075,0.1099776355552,0.231382629010281,0.781429122694061,0.14590222990603,4.32331658224021,0.841268734316786,1.30652039886507,0.607185189787397,0.57810250785236,0.0586448530075166,0.71215857168321,1.08203448720292,0.519751927845272,0.285096665494557,0.378638643181577,0.950285399962972,0.254277949152063,0.798649923050327,0.760870882389754,2.0043468650104,0.454236256739175,1.65833867906684,1.31182532525145,1.13593757148271,0.864960807387172,0.638917409904457,1.92725161616909,1.2523853110915,0.257083918203984,1.52314978633299,1.06095018107914,0.655997796769995,0.91688381426382,0.278504677375724,1.13642629938182,1.29694117207942,0.338510282693777,1.34096507479645,0.421132493094207,0.65786521228523,0.149796126865229,0.21138782105404,1.21460218915339,0.988392256235882,0.315609309729813,0.885406005669481,0.605741185182618,1.2715732795018,2.12159104100167,0.258424693804544,0.220316556901078,1.69700627505937,0.302762331387786,0.887956333886261,0.610655107215834,1.93591157733426,0.823266243870032,1.433550461121,0.22272637035787,0.338070535925622,1.27804873056361,0.811865651120533,0.416091396107889,0.229028437745969,1.4608876308521,1.13857918134624,1.04387491921764,1.01451341689215,0.847723469951229,0.68130359328227,0.463090091826457,0.264789291362938,0.499338835081547,1.45978061409211,0.978870781195991,1.497392684496,0.97581762582135,1.0305301401866,1.0280075761419,1.18433930912458,0.270032069764077,0.49559470436214,1.10570100754807,1.3638993941339,1.97229732559149,0.544452702625966
