,Apulia,Arla,Arnum,Bacau,Bakkeveen,Ballangen,Belle-Ile-en-Mer,Bialowieza,Bolzano,Buckarby,Bursa,Bussiéres,Calabria,Callantsoog,České Budejovice,Chernobyl,Cirencester,Cuxhaven,Dieren,Diptford,Dontreix,Eksingedal,Feleacu,Frýdek-Místek,Hage,Hakel forest,Harestua,Havelberg,Heidenheim,Heslington,Jezersko,Jutland,Kamnica,Kobylnica,Kolari,Kopaonik Mts.,Korgen,Korpilahti,Kramfors,Krásnohorské Podhradie,Krupina,Kuusamo,Kvandalfors,Le Quartier,Lieksa,Lillesand,Linda,Lizard Peninsula,Lolland,Mala Kapela,Malselvfossen,Maud,Mikkeli,Morges,Mšec,Neuborn,Noordwijk,Nordnes,North Hill,Nova Kapela,Ócsa,Osogovo Mts.,Ostashkov,Pallasjärvi,Pickering,Pihen-lé-Guines,Pisavaara,Plešivica Mts.,Polichno,Pravenec,Pyhätunturi,Pyrenees,Rana,Ratzerburg,Ribeaville,Ringebu,Risør,Rosello,Roslin,Skelleftea,Skjomdalen,Skjomdalen 2,Skog,Snåsa,Solnik,St Jean-le-Thomas,Stensoffa,Strmosten,Suonenjoki,Surnadal,Tohmajärvi,Torsby,Umea,Urwitalt,Vammala,Varde,Vimoutiers,Virolahti,Vysoké Tatry,Wicken
Dontreix,0.511253014,0.400108916,0.361693094,0.239854126,0.251452571,0.539488991,0.148920208,0.237672099,0.265936008,0.460636926,0.441721873,0.004469681,0.48107784,0.371346897,0.235374828,0.23993358,0.353964144,0.356618379,0.268240341,0.397593853,0,0.635175628,0.280455386,0.233270831,0.295732632,0.259660427,0.445655342,0.279979142,0.180165672,0.326910884,0.247478404,0.342984553,0.218201052,0.278862197,0.34266896,0.206141474,0.41041099,0.372609253,0.419679031,0.37363913,0.208365874,0.318170927,0.487526971,0.018721191,0.35671196,0.55482365,0.275523301,0.417188611,0.365276802,0.249196344,0.524513531,0.527670463,0.375171948,0.150602037,0.263101061,0.312876837,0.366178757,0.46428953,0.354312555,0.224925768,0.296046784,0.24017828,0.308417115,0.3268232,0.351239616,0.208655483,0.342115625,0.237373291,0.246492043,0.225786518,0.331051535,0.394007763,0.456909645,0.297702671,0.201667889,0.503572612,0.556106826,0.280338204,0.376317277,0.432089268,0.601362781,0.600129327,0.454912012,0.508934653,0.196949994,0.130017421,0.36104655,0.20783681,0.354474893,0.523233571,0.355503033,0.435008705,0.416331641,0.304065094,0.385839403,0.283925632,0.109748908,0.356871244,0.212059486,0.342533638
Eksingedal,0.757525033,0.302706394,0.462253782,0.444323484,0.486733897,0.672025196,0.623560912,0.413042368,0.637931648,0.279170273,0.634163518,0.651672255,0.703432674,0.603731378,0.474480947,0.469157064,0.486571156,0.465102998,0.472440557,0.526501936,0.635175628,0,0.608582007,0.397852511,0.422406442,0.412904764,0.262561114,0.579451834,0.40572915,0.434779403,0.415566097,0.417645075,0.456123119,0.487121987,0.635482459,0.472211245,0.456374322,0.522575543,0.265674108,0.550312421,0.384223304,0.581078778,0.54067034,0.572306759,0.507704779,0.169586619,0.591805487,0.544114388,0.495100303,0.614878464,0.75173917,0.629819354,0.528366842,0.582015917,0.439637884,0.570932174,0.550479772,0.561171613,0.510848866,0.441278309,0.504176694,0.513611524,0.514849721,0.628134034,0.496532313,0.55482975,0.628474968,0.610599161,0.46248104,0.400267602,0.629231662,0.756542959,0.502606883,0.441095729,0.576985459,0.209866967,0.246831318,0.68060697,0.510763046,0.620249273,0.672538341,0.64913197,0.227414219,0.254962483,0.516378233,0.562511383,0.342340226,0.431731699,0.510574338,0.224585214,0.5078752,0.273529169,0.427314051,0.462726073,0.541361256,0.447079433,0.54095994,0.514524656,0.400502122,0.492265487
Feleacu,0.644009384,0.338320147,0.282217807,0.139613681,0.195628277,0.498198465,0.213486148,0.144149098,0.175330608,0.395520665,0.444057839,0.293836612,0.56266528,0.292086583,0.162371151,0.134916337,0.304200771,0.264117541,0.207312708,0.352299522,0.280455386,0.608582007,0,0.156706247,0.233448111,0.194911639,0.388773338,0.065330871,0.134580304,0.278159367,0.161593141,0.273656422,0.169891104,0.179192477,0.175035619,0.157221123,0.338204431,0.293761818,0.355356294,0.286693905,0.116932721,0.222566966,0.424070213,0.316476802,0.274397852,0.502867401,0.096346297,0.367698988,0.285482237,0.1051219,0.646586478,0.4945331,0.297413004,0.13230725,0.187442829,0.157068205,0.304648632,0.398259902,0.305054165,0.187997845,0.24224791,0.205476082,0.206196118,0.183362728,0.306665016,0.068809045,0.1913622,0.061866016,0.138773039,0.146707989,0.144203614,0.657634136,0.383797206,0.214602839,0.124608479,0.445890843,0.520430577,0.303139308,0.32767,0.370692444,0.56373739,0.543929096,0.392116182,0.45703073,0.158907853,0.306203288,0.286232039,0.167078591,0.278219742,0.491635884,0.272932614,0.367728296,0.348898447,0.205408565,0.315154015,0.193935936,0.247809331,0.277414325,0.116750207,0.295151906
Frýdek-Místek,0.389134448,0.239287207,0.179163257,0.088413656,0.118842594,0.305484848,0.222938232,0.07987061,0.237318706,0.282200782,0.356470423,0.252261979,0.433405827,0.205479181,0.07702282,0.107703723,0.210459665,0.172785383,0.145624213,0.256160747,0.233270831,0.397852511,0.156706247,0,0.141690247,0.100246584,0.249603217,0.141153691,0.078734439,0.197002525,0.075023106,0.179843149,0.116974364,0.082390012,0.216307105,0.143950069,0.240435946,0.219806147,0.248799509,0.161659886,0.04586719,0.183130204,0.311763149,0.251669179,0.203713392,0.34832208,0.144258516,0.270717508,0.181755969,0.17399082,0.412049398,0.342659783,0.221015194,0.175437802,0.092311034,0.182421393,0.210574467,0.27500446,0.213492278,0.132583401,0.169707206,0.181509148,0.142893988,0.212315921,0.208529768,0.148591475,0.211994193,0.159423154,0.059278571,0.06134928,0.195455081,0.47840423,0.272852243,0.122160321,0.155892475,0.307004715,0.327034729,0.304090118,0.233770456,0.243625366,0.370943424,0.390110246,0.279766017,0.30180865,0.137969332,0.241433296,0.191680426,0.126401376,0.20587163,0.294107483,0.204141037,0.259221705,0.242914447,0.124534229,0.22998494,0.126809877,0.200357282,0.209699837,0.050565429,0.209282446
Hage,0.441093715,0.255777489,0.180803625,0.171839289,0.120838962,0.379224371,0.267336866,0.16493614,0.303953176,0.296983269,0.40787916,0.316041495,0.478890418,0.217669335,0.14607031,0.197848949,0.20092425,0.172214654,0.132023067,0.23972337,0.295732632,0.422406442,0.233448111,0.141690247,0,0.128942867,0.272186342,0.182525175,0.110408342,0.185409684,0.163095904,0.190222358,0.18282243,0.159759254,0.305810267,0.217112148,0.3001206,0.299077848,0.284017586,0.244159531,0.130352867,0.275646429,0.372160933,0.297422622,0.284984289,0.367827563,0.201484173,0.254592795,0.193263302,0.253374327,0.446648569,0.346695659,0.303288652,0.224016827,0.149012734,0.206142033,0.207141069,0.341359691,0.20588432,0.201085979,0.2398727,0.242596959,0.229155533,0.295218626,0.201628478,0.185877159,0.299656175,0.247043816,0.147641386,0.143976154,0.285801099,0.521246089,0.335295721,0.140786774,0.196311198,0.330083274,0.350058122,0.362519943,0.234266679,0.320947394,0.437938973,0.451376165,0.294515258,0.33474239,0.203153506,0.284501823,0.205327631,0.193294501,0.287502547,0.326624551,0.286008033,0.271910448,0.296893855,0.212197949,0.308455207,0.145012094,0.237210962,0.287247594,0.137055868,0.197569167
Hakel forest,0.417764037,0.231447714,0.157129983,0.134971147,0.09846086,0.353805771,0.23965718,0.127183708,0.271460336,0.280074469,0.380674234,0.280286396,0.457471827,0.196730271,0.099221683,0.156323451,0.187433638,0.15332715,0.121995679,0.230665483,0.259660427,0.412904764,0.194911639,0.100246584,0.128942867,0,0.252790474,0.147659229,0.072100479,0.176022996,0.12522787,0.170858536,0.148994195,0.1127587,0.26840366,0.181102725,0.272424398,0.269130401,0.265549894,0.213882469,0.088327854,0.243531053,0.351982562,0.26471345,0.254644539,0.354744853,0.158940464,0.2515344,0.169105314,0.212081768,0.438906519,0.333647138,0.27042903,0.195651395,0.104821999,0.176661824,0.192746958,0.315043411,0.197068167,0.166112144,0.20597174,0.213631997,0.193615551,0.26107946,0.191918201,0.160914548,0.270960839,0.198866327,0.100292379,0.102260102,0.247595127,0.504569003,0.309534774,0.112296613,0.164078454,0.310504279,0.335279755,0.329825584,0.219279104,0.289619951,0.42189622,0.435512641,0.279455343,0.321230922,0.174637843,0.253088497,0.176216012,0.156982822,0.254512208,0.306010266,0.255722271,0.253352832,0.275171837,0.170658994,0.277516941,0.115072809,0.202954804,0.253524359,0.092342974,0.18679513
Harestua,0.628941,0.090387005,0.265736145,0.278871351,0.281002956,0.518653792,0.426570596,0.260975115,0.451100457,0.0772134,0.524165366,0.46324064,0.606829975,0.411068325,0.282831387,0.294125371,0.350513044,0.309122816,0.291948132,0.394896648,0.445655342,0.262561114,0.388773338,0.249603217,0.272186342,0.252790474,0,0.361441563,0.228911132,0.317936703,0.265202294,0.255537526,0.294151282,0.288248311,0.442165628,0.309102934,0.329230508,0.395263102,0.171269952,0.389139173,0.230396332,0.39627423,0.439472068,0.414678555,0.376600691,0.106137119,0.385940153,0.411166873,0.294272761,0.409423616,0.620870009,0.513285171,0.400355134,0.376658309,0.274002285,0.342074503,0.377137816,0.42646427,0.360105721,0.299366085,0.352013007,0.348572212,0.343476263,0.439471418,0.352155866,0.347960492,0.439792004,0.401713804,0.269142185,0.244274738,0.430172796,0.675196865,0.3864683,0.244624673,0.367984882,0.066270831,0.131602582,0.506636379,0.373192788,0.451841353,0.562448409,0.5563346,0.08168426,0.193892345,0.321549346,0.404422055,0.144145956,0.287800284,0.380535884,0.162863868,0.377608729,0.048241563,0.293729648,0.314238566,0.412607836,0.234337243,0.360038578,0.380878935,0.241003276,0.34855815
Havelberg,0.691122906,0.291938523,0.221185547,0.160544166,0.155674841,0.516746122,0.220458962,0.150337841,0.240816129,0.354235365,0.450485446,0.290132999,0.557297032,0.252281679,0.151424846,0.14832169,0.256078553,0.207835182,0.154006202,0.306050421,0.279979142,0.579451834,0.065330871,0.141153691,0.182525175,0.147659229,0.361441563,0,0.109419756,0.22983263,0.159053313,0.228748603,0.187943187,0.149822738,0.194152417,0.19270403,0.319108534,0.283990548,0.327871956,0.277186891,0.122939984,0.220362212,0.399175479,0.300308766,0.268564558,0.462407993,0.051886646,0.324958687,0.223059927,0.136994236,0.71435585,0.443633804,0.295848664,0.149610499,0.154435494,0.100480751,0.259967492,0.386858745,0.254452544,0.200003624,0.241934052,0.237159886,0.205515461,0.195772333,0.259147511,0.076717985,0.191546064,0.101411093,0.140097814,0.136077175,0.175375064,0.651202829,0.370334146,0.148293504,0.100625577,0.410959,0.484053697,0.32764628,0.276035953,0.368307622,0.559451213,0.533189862,0.351936246,0.432448345,0.177924243,0.295577514,0.229739004,0.191892251,0.273018446,0.469723775,0.272151483,0.320841028,0.326926811,0.207869181,0.306643006,0.163088281,0.228626542,0.269998319,0.117864242,0.251340254
Heidenheim,0.379980282,0.223558146,0.157689942,0.099810744,0.059579014,0.322123064,0.181704459,0.105071647,0.200419205,0.271366437,0.353113209,0.206836572,0.439110502,0.140571467,0.060842444,0.124591974,0.164614576,0.153350665,0.078461009,0.205576259,0.180165672,0.40572915,0.134580304,0.078734439,0.110408342,0.072100479,0.228911132,0.109419756,0,0.150944476,0.100422272,0.167552147,0.080149552,0.10042118,0.217902815,0.124396812,0.255395128,0.250135618,0.249376281,0.18875767,0.063486931,0.196928841,0.339661345,0.207691722,0.231746664,0.346116085,0.126760588,0.223940923,0.164510068,0.136019479,0.419189716,0.317057683,0.251634348,0.129214324,0.08308971,0.145687484,0.151887018,0.297684678,0.162218699,0.10494811,0.15736181,0.15798,0.165634926,0.213886488,0.158213118,0.103493264,0.221366172,0.131612978,0.079034433,0.075735209,0.196904149,0.488472455,0.294325044,0.107509945,0.101810355,0.300654487,0.31938523,0.277426312,0.192284291,0.255747653,0.407923485,0.430853822,0.269568942,0.300165347,0.116011495,0.198267891,0.174240506,0.10418364,0.233653873,0.280188658,0.231034577,0.246352404,0.252255902,0.156221062,0.261310155,0.099199624,0.140582524,0.235224271,0.070129601,0.159244361
Heslington,0.471680627,0.294634419,0.234975755,0.2300588,0.149605648,0.418493101,0.294691976,0.223093279,0.338596022,0.336585279,0.427271662,0.347037745,0.489552212,0.233939065,0.198032731,0.256372233,0.070454604,0.230609717,0.152820561,0.121162116,0.326910884,0.434779403,0.278159367,0.197002525,0.185409684,0.176022996,0.317936703,0.22983263,0.150944476,0,0.216165817,0.245859436,0.228261552,0.224321712,0.350483381,0.263604856,0.344101873,0.346409084,0.327032028,0.302519453,0.189358396,0.332793093,0.406488741,0.327388459,0.334267584,0.390142637,0.241952317,0.152359222,0.248004476,0.289835663,0.459751276,0.225760223,0.349464928,0.251457258,0.198905377,0.261577886,0.222310887,0.384267492,0.089912325,0.245661786,0.28620329,0.287636075,0.285308749,0.345252543,0.042833394,0.195171022,0.352149583,0.285390511,0.214848588,0.196456227,0.332427568,0.519952755,0.372526991,0.205372257,0.200375782,0.356585468,0.381092188,0.40073191,0.07738807,0.363851248,0.461436957,0.471912455,0.333482202,0.368401126,0.261152732,0.303704173,0.250829484,0.239233872,0.333745765,0.359696727,0.333111072,0.312930668,0.342803874,0.265424958,0.3525725,0.207313159,0.259572201,0.338226282,0.196918974,0.072668157
Jezersko,0.396642153,0.248975692,0.199295038,0.089328238,0.140221482,0.306756251,0.238498889,0.082571273,0.244528878,0.294933192,0.35861677,0.267845543,0.438789831,0.22950101,0.104203223,0.107273954,0.230111223,0.198439038,0.161545082,0.272258812,0.247478404,0.415566097,0.161593141,0.075023106,0.163095904,0.12522787,0.265202294,0.159053313,0.100422272,0.216165817,0,0.193636092,0.128158069,0.095489392,0.227030545,0.145379735,0.241933162,0.221935739,0.256589467,0.16408183,0.051502499,0.187627413,0.314401402,0.261324074,0.20022102,0.366380926,0.159217466,0.283790583,0.197192015,0.187224703,0.41631181,0.355045047,0.223705559,0.185080688,0.110278841,0.202538847,0.227874543,0.277662333,0.231520559,0.141611045,0.183792695,0.181497327,0.143857326,0.219597179,0.227612505,0.160341195,0.220707293,0.184846108,0.067837179,0.068971012,0.198728949,0.485216164,0.277400887,0.149767506,0.169821136,0.319714039,0.342522492,0.308672314,0.249585673,0.247696807,0.375928842,0.390984735,0.289402603,0.315420403,0.146823211,0.254797662,0.208311498,0.132219669,0.204741882,0.310692472,0.201660607,0.271128998,0.248219383,0.129251272,0.228409557,0.139865087,0.215400128,0.2062247,0.051727084,0.225750727
Jutland,0.478509143,0.226952408,0.125270014,0.209569783,0.192063908,0.415684987,0.303360384,0.202685123,0.34465494,0.27465718,0.439614454,0.358927971,0.507444293,0.291065657,0.197182073,0.23418926,0.271166702,0.214057981,0.210095165,0.308323631,0.342984553,0.417645075,0.273656422,0.179843149,0.190222358,0.170858536,0.255537526,0.228748603,0.167552147,0.245859436,0.193636092,0,0.22811944,0.19810586,0.346056358,0.25198525,0.312875055,0.327296896,0.278749032,0.285493275,0.166266513,0.317448101,0.394503775,0.34190139,0.314431381,0.35319037,0.249167786,0.323721429,0.187347743,0.287619802,0.481845259,0.402697151,0.332894316,0.260836742,0.191833703,0.21298223,0.272939382,0.366752905,0.274986533,0.240536392,0.279408269,0.282088808,0.266748398,0.339327031,0.268306893,0.22840367,0.340856218,0.286720852,0.177132388,0.174969304,0.323643702,0.553954796,0.35413047,0.152865894,0.241635584,0.310181304,0.343280214,0.39614603,0.289135586,0.357198683,0.468167647,0.476672594,0.274653917,0.331138952,0.239391302,0.326409654,0.169831166,0.231063841,0.317852519,0.317935746,0.314904757,0.248545024,0.311617367,0.236462175,0.338035829,0.111765055,0.286488281,0.314501002,0.169469272,0.267685455
Kamnica,0.381371902,0.279673713,0.226669024,0.11321674,0.14294011,0.35504931,0.226850548,0.129494447,0.187908959,0.326915377,0.328229712,0.238988706,0.430275479,0.241668397,0.105097549,0.147155923,0.243887691,0.229727321,0.173840554,0.28878293,0.218201052,0.456123119,0.169891104,0.116974364,0.18282243,0.148994195,0.294151282,0.187943187,0.080149552,0.228261552,0.128158069,0.22811944,0,0.148155751,0.253087511,0.07125497,0.283330008,0.265782344,0.295788698,0.216432638,0.092726522,0.223918584,0.363382694,0.229550976,0.245453438,0.402314669,0.185331905,0.299884558,0.237287957,0.115576134,0.417442419,0.387136035,0.267351387,0.16119385,0.141852152,0.223019762,0.241331639,0.323142466,0.243577767,0.033518168,0.11042792,0.12151574,0.191103944,0.243128523,0.241433608,0.163687733,0.251389678,0.108613049,0.121288236,0.104731131,0.236669766,0.484062781,0.322746092,0.182308822,0.173255861,0.354024602,0.376998426,0.270568853,0.26813572,0.288717285,0.432962816,0.449457764,0.32205312,0.350258455,0.107882129,0.226608978,0.240138212,0.044890348,0.249340273,0.339185763,0.244504488,0.303705073,0.296685105,0.187475332,0.275381747,0.157034159,0.187706046,0.252524386,0.102615621,0.240518148
Kobylnica,0.476097639,0.26044243,0.195600011,0.110028994,0.136626174,0.368032917,0.253197908,0.079838732,0.269972643,0.316305686,0.417724536,0.301176696,0.509861873,0.241678687,0.10554599,0.106233293,0.241394851,0.186556635,0.159545439,0.289908867,0.278862197,0.487121987,0.179192477,0.082390012,0.159759254,0.1127587,0.288248311,0.149822738,0.10042118,0.224321712,0.095489392,0.19810586,0.148155751,0,0.236898119,0.162330365,0.272846457,0.243077133,0.284781595,0.200875654,0.06156089,0.203044664,0.353882967,0.296426109,0.224886959,0.407781812,0.153598834,0.306904337,0.197580697,0.208616925,0.483162978,0.413805715,0.248614105,0.208018806,0.116600527,0.18640042,0.245091014,0.319770827,0.244297805,0.165923523,0.208859898,0.202754682,0.155868806,0.228357402,0.24703515,0.173657385,0.238102684,0.190572749,0.063689456,0.074178676,0.219852059,0.577067229,0.314960852,0.128922937,0.181817246,0.356232617,0.393483094,0.344635874,0.273586082,0.290304087,0.450954169,0.461069294,0.31527372,0.360667736,0.157015038,0.279063371,0.204989553,0.150940353,0.228878173,0.353338768,0.226085598,0.287155207,0.280797382,0.12823129,0.258316311,0.130774231,0.22698148,0.224541673,0.060031428,0.236864478
Kolari,0.639311824,0.395375212,0.347920673,0.226289351,0.267180792,0.397952892,0.290582018,0.164161367,0.304638612,0.45225162,0.513077707,0.366803312,0.597061803,0.376081059,0.240473758,0.135062638,0.373944938,0.34278528,0.287803652,0.423727316,0.34266896,0.635482459,0.175035619,0.216307105,0.305810267,0.26840366,0.442165628,0.194152417,0.217902815,0.350483381,0.227030545,0.346056358,0.253087511,0.236898119,0,0.255290874,0.26016186,0.171784791,0.366246957,0.350553031,0.191146265,0.058643421,0.322556445,0.382644743,0.146735053,0.549884685,0.189905426,0.437173789,0.353674261,0.223148724,0.640679491,0.550376915,0.173320174,0.233489947,0.259460553,0.289299591,0.382449002,0.293700308,0.372570644,0.27061488,0.322486569,0.296694168,0.171079358,0.006319662,0.378399548,0.188736335,0.035133477,0.205434065,0.197876947,0.216714618,0.001264994,0.687909079,0.307853843,0.284198482,0.204552848,0.499968663,0.557646514,0.374095963,0.394820399,0.219161866,0.474952874,0.459814911,0.442391042,0.486734227,0.235694878,0.374227407,0.351319009,0.253159973,0.153732751,0.523919494,0.149567321,0.430223409,0.309553404,0.243663588,0.195530473,0.272484223,0.319014499,0.164279533,0.197337733,0.368217031
Kopaonik Mts.,0.360508724,0.300182639,0.25264276,0.109880211,0.176877316,0.361935274,0.218193291,0.142168435,0.177322135,0.348205937,0.264245671,0.230121473,0.408668523,0.270808111,0.138533898,0.153695539,0.276224116,0.253520366,0.21220728,0.318638577,0.206141474,0.472211245,0.157221123,0.143950069,0.217112148,0.181102725,0.309102934,0.19270403,0.124396812,0.263604856,0.145379735,0.25198525,0.07125497,0.162330365,0.255290874,0,0.290952678,0.272351831,0.307260388,0.238222847,0.114484799,0.222566089,0.374769038,0.231083187,0.254113813,0.418974315,0.19216878,0.332199089,0.256176343,0.122054833,0.412697097,0.418322157,0.272622271,0.165721932,0.171941104,0.234323425,0.27697597,0.333471509,0.272923398,0.07185351,0.148300612,0.05244295,0.20463303,0.242351243,0.274074067,0.174334134,0.247734488,0.119428353,0.137518724,0.129959316,0.235902598,0.473439858,0.331675611,0.202549392,0.177259066,0.372798609,0.395418428,0.244166047,0.30240789,0.290742078,0.442271643,0.458006103,0.341111754,0.363225759,0.049217842,0.22890957,0.264096865,0.046450481,0.255075812,0.353652305,0.253611788,0.322527957,0.301354341,0.199472999,0.28196404,0.178676639,0.20053131,0.256521109,0.115758488,0.269585997
Korgen,0.549948133,0.311174582,0.327116854,0.252179363,0.306916761,0.263336068,0.379793074,0.202917158,0.399697147,0.343253195,0.489186373,0.43559763,0.561305369,0.404436844,0.281962938,0.219139891,0.366936796,0.338098299,0.323787979,0.405714373,0.41041099,0.456374322,0.338204431,0.240435946,0.3001206,0.272424398,0.329230508,0.319108534,0.255395128,0.344101873,0.241933162,0.312875055,0.283330008,0.272846457,0.26016186,0.290952678,0,0.233083498,0.196367694,0.341895989,0.218675217,0.225688741,0.180891616,0.406139383,0.213056209,0.404534076,0.336098517,0.421280711,0.348478427,0.347002218,0.541117999,0.499920622,0.234959271,0.329745264,0.274903342,0.363929141,0.390203018,0.158688701,0.371968191,0.292590864,0.334342124,0.330335845,0.233291232,0.258683968,0.371045058,0.304740742,0.254365918,0.34855722,0.240230285,0.23196934,0.263098143,0.616174622,0.116671173,0.292384769,0.326293273,0.36522372,0.401876843,0.453644129,0.387888676,0.162320035,0.324825993,0.321536111,0.319479647,0.303488593,0.300012406,0.394331947,0.298315433,0.276137632,0.215418568,0.362637249,0.215138418,0.327165724,0.139653497,0.262626706,0.246658487,0.279189455,0.371136656,0.227377315,0.223304066,0.368376844
Korpilahti,0.502049903,0.374594146,0.333841998,0.223389859,0.291734605,0.306147944,0.340190914,0.143999866,0.366614031,0.417681871,0.465791181,0.39438729,0.529769933,0.380498206,0.255405843,0.144112424,0.36027915,0.331100608,0.312718453,0.400769822,0.372609253,0.522575543,0.293761818,0.219806147,0.299077848,0.269130401,0.395263102,0.283990548,0.250135618,0.346409084,0.221935739,0.327296896,0.265782344,0.243077133,0.171784791,0.272351831,0.233083498,0,0.335401397,0.295792027,0.196044077,0.096922707,0.285048051,0.385193082,0.045688647,0.480453699,0.28763572,0.411616333,0.343647551,0.306355531,0.491205413,0.485160059,0.032520503,0.29374063,0.258074079,0.347238953,0.371203575,0.255060035,0.364906097,0.279742788,0.316426183,0.30681022,0.129650046,0.165004271,0.365332963,0.277139835,0.157230481,0.304338197,0.202072471,0.219826495,0.156669889,0.57628941,0.263327417,0.290987846,0.29026706,0.441417645,0.465581769,0.417930238,0.383209623,0.182054524,0.364055566,0.370322244,0.407524936,0.419503424,0.277590785,0.37286505,0.340464295,0.264750676,0.018576644,0.440783039,0.056355085,0.399087052,0.281573208,0.215455977,0.028203504,0.283096141,0.346426805,0.024375764,0.197927597,0.364198214
Kramfors,0.553892166,0.175217788,0.296199924,0.272654992,0.296332158,0.387207158,0.382743543,0.244283838,0.415592311,0.179096955,0.496409823,0.437408726,0.563611358,0.392790503,0.289648576,0.276886364,0.351578267,0.321111855,0.310693782,0.389519489,0.419679031,0.265674108,0.355356294,0.248799509,0.284017586,0.265549894,0.171269952,0.327871956,0.249376281,0.327032028,0.256589467,0.278749032,0.295788698,0.284781595,0.366246957,0.307260388,0.196367694,0.335401397,0,0.358487683,0.233546856,0.336098187,0.326301459,0.407321464,0.317039599,0.216338756,0.340310579,0.403057406,0.31754163,0.36684601,0.545240993,0.483533486,0.337078122,0.335577054,0.276692906,0.34894496,0.373480027,0.30297219,0.356703112,0.299367926,0.342796676,0.344233469,0.304939844,0.367539059,0.355083157,0.314278526,0.363974797,0.366172938,0.260342287,0.246449312,0.354159211,0.61403251,0.259185922,0.267578502,0.331587889,0.181318081,0.223570042,0.468940239,0.372348163,0.325918701,0.435969857,0.434085996,0.128199453,0.090430804,0.315184512,0.39599119,0.210906266,0.289194742,0.320937871,0.158731574,0.317622179,0.174042642,0.140383348,0.293886185,0.350815278,0.258861018,0.36457388,0.326672323,0.238935526,0.351202902
Krásnohorské Podhradie,0.535437382,0.346820061,0.302964307,0.174135355,0.255639382,0.454790023,0.358798576,0.164258737,0.368838908,0.399124429,0.466315912,0.396189351,0.551338,0.36203921,0.208174937,0.189271606,0.32583283,0.284800337,0.263659576,0.371373528,0.37363913,0.550312421,0.286693905,0.161659886,0.244159531,0.213882469,0.389139173,0.277186891,0.18875767,0.302519453,0.16408183,0.285493275,0.216432638,0.200875654,0.350553031,0.238222847,0.341895989,0.295792027,0.358487683,0,0.133347311,0.289764869,0.412656561,0.365345691,0.282720428,0.485613013,0.294010516,0.386949656,0.310810041,0.315524928,0.540567106,0.481246012,0.30292828,0.305081987,0.201041201,0.335114873,0.340391548,0.390354751,0.334313878,0.226462898,0.274029612,0.273460614,0.237320953,0.342738886,0.331345995,0.288079827,0.346717894,0.301328558,0.174772732,0.155706087,0.333874373,0.61183649,0.376679406,0.24916846,0.29264559,0.434628193,0.481379897,0.437608382,0.350884067,0.369262011,0.509669726,0.512423715,0.391862415,0.439966039,0.250840042,0.35577734,0.300122433,0.215655212,0.282128176,0.452953827,0.284317444,0.37015388,0.35971614,0.218038465,0.306837101,0.24690648,0.315252472,0.285465555,0.136901671,0.325012988
Krupina,0.365568177,0.223395509,0.160692519,0.054505821,0.102879819,0.282346126,0.196238674,0.056064883,0.208909831,0.265907609,0.334211401,0.231576039,0.415663258,0.188911028,0.058865355,0.080560893,0.199942902,0.156179385,0.12880904,0.242668753,0.208365874,0.384223304,0.116932721,0.04586719,0.130352867,0.088327854,0.230396332,0.122939984,0.063486931,0.189358396,0.051502499,0.166266513,0.092726522,0.06156089,0.191146265,0.114484799,0.218675217,0.196044077,0.233546856,0.133347311,0,0.158494303,0.293339162,0.232603226,0.175156799,0.335093447,0.119483442,0.257291442,0.165691316,0.146582737,0.391804327,0.325917026,0.198026554,0.151076673,0.073058289,0.163275137,0.197985854,0.251100573,0.200037516,0.10749382,0.147331366,0.150872851,0.117566471,0.180761343,0.198106687,0.12832567,0.185578708,0.134627781,0.035938739,0.038171056,0.168546121,0.460601398,0.252204916,0.110499812,0.138700716,0.292279673,0.310558267,0.276400277,0.222314615,0.212381273,0.353789163,0.372175372,0.264086131,0.288665091,0.112478677,0.220594342,0.177732451,0.101710841,0.180746866,0.278353932,0.17637561,0.244019104,0.222422171,0.101077865,0.205773064,0.105601372,0.180277192,0.183515907,0.019804496,0.195462952
Kuusamo,0.52447002,0.37221867,0.31556868,0.187668743,0.241321559,0.301006865,0.285257903,0.11704513,0.302462634,0.424994308,0.477882835,0.340061899,0.558266734,0.344429679,0.210885278,0.09757318,0.349158785,0.319468507,0.272509491,0.398534666,0.318170927,0.581078778,0.222566966,0.183130204,0.275646429,0.243531053,0.39627423,0.220362212,0.196928841,0.332793093,0.187627413,0.317448101,0.223918584,0.203044664,0.058643421,0.222566089,0.225688741,0.096922707,0.336098187,0.289764869,0.158494303,0,0.283988353,0.35364062,0.060753163,0.513310693,0.215805124,0.413497268,0.323613527,0.229496523,0.528573852,0.513658461,0.105810249,0.235029216,0.230160766,0.283271591,0.35149934,0.249678929,0.348076015,0.242251557,0.291150317,0.267142214,0.100237396,0.046258407,0.35212759,0.223481629,0.057132741,0.229448407,0.149657015,0.183627442,0.029050567,0.63235387,0.264421717,0.263544207,0.218265406,0.462942137,0.499137982,0.371536986,0.374327144,0.16018186,0.402442435,0.405440419,0.415861855,0.437636031,0.215332726,0.348111368,0.325286505,0.222494986,0.07401002,0.45496219,0.067779313,0.401556027,0.269835463,0.198765111,0.126131029,0.244216948,0.301486592,0.086482756,0.157438885,0.346732862
