,Apulia,Arla,Arnum,Bacau,Bakkeveen,Ballangen,Belle-Ile-en-Mer,Bialowieza,Bolzano,Buckarby,Bursa,Bussiéres,Calabria,Callantsoog,České Budejovice,Chernobyl,Cirencester,Cuxhaven,Dieren,Diptford,Dontreix,Eksingedal,Feleacu,Frýdek-Místek,Hage,Hakel forest,Harestua,Havelberg,Heidenheim,Heslington,Jezersko,Jutland,Kamnica,Kobylnica,Kolari,Kopaonik Mts.,Korgen,Korpilahti,Kramfors,Krásnohorské Podhradie,Krupina,Kuusamo,Kvandalfors,Le Quartier,Lieksa,Lillesand,Linda,Lizard Peninsula,Lolland,Mala Kapela,Malselvfossen,Maud,Mikkeli,Morges,Mšec,Neuborn,Noordwijk,Nordnes,North Hill,Nova Kapela,Ócsa,Osogovo Mts.,Ostashkov,Pallasjärvi,Pickering,Pihen-lé-Guines,Pisavaara,Plešivica Mts.,Polichno,Pravenec,Pyhätunturi,Pyrenees,Rana,Ratzerburg,Ribeaville,Ringebu,Risør,Rosello,Roslin,Skelleftea,Skjomdalen,Skjomdalen 2,Skog,Snåsa,Solnik,St Jean-le-Thomas,Stensoffa,Strmosten,Suonenjoki,Surnadal,Tohmajärvi,Torsby,Umea,Urwitalt,Vammala,Varde,Vimoutiers,Virolahti,Vysoké Tatry,Wicken
Bursa,0.525681644,0.484655968,0.469876888,0.351344779,0.426914757,0.590665984,0.446687501,0.35890257,0.432536854,0.53019701,0,0.462866958,0.498749623,0.520710393,0.390595361,0.39089938,0.464473429,0.4562084,0.432824502,0.501308476,0.441721873,0.634163518,0.444057839,0.356470423,0.40787916,0.380674234,0.524165366,0.450485446,0.353113209,0.427271662,0.35861677,0.439614454,0.328229712,0.417724536,0.513077707,0.264245671,0.489186373,0.465791181,0.496409823,0.466315912,0.334211401,0.477882835,0.5385424,0.425305953,0.449867554,0.584352342,0.450057573,0.512876882,0.480395116,0.414081172,0.541122798,0.582397432,0.46742695,0.398938017,0.392647636,0.500445798,0.492899483,0.532493359,0.47290827,0.313656901,0.391334345,0.27621246,0.441226355,0.50410228,0.463565579,0.412448989,0.508801228,0.415346625,0.391067147,0.341626082,0.504913745,0.584051074,0.516201459,0.43360494,0.437566963,0.554026073,0.58600986,0.44403854,0.482717776,0.530302488,0.6172491,0.61351075,0.517447249,0.558995645,0.262521374,0.432340657,0.453329195,0.283136228,0.451976235,0.575431206,0.45222116,0.505990688,0.512509378,0.408437563,0.476985068,0.423614934,0.420815117,0.456206027,0.342227846,0.465342612
Bussiéres,0.541156391,0.415252811,0.37377096,0.266889713,0.270441164,0.563853329,0.172613195,0.259388606,0.277436057,0.47627166,0.462866958,0,0.498855327,0.387008397,0.259674262,0.259970409,0.375477178,0.373301931,0.293720382,0.418622112,0.004469681,0.651672255,0.293836612,0.252261979,0.316041495,0.280286396,0.46324064,0.290132999,0.206836572,0.347037745,0.267845543,0.358927971,0.238988706,0.301176696,0.366803312,0.230121473,0.43559763,0.39438729,0.437408726,0.396189351,0.231576039,0.340061899,0.51333727,0.042142855,0.377432111,0.57002081,0.281580379,0.436508303,0.378279195,0.258788516,0.564645904,0.544100158,0.397689907,0.150163923,0.285218757,0.336024668,0.383304909,0.492864815,0.376955923,0.251038271,0.319895237,0.272565018,0.330361712,0.350565074,0.372736357,0.208637937,0.3659807,0.253898176,0.270563723,0.247973044,0.339684943,0.41519411,0.481264841,0.318805599,0.202875877,0.518589931,0.572580428,0.300494849,0.401193719,0.465029401,0.628743833,0.622318513,0.470685042,0.525934339,0.218876276,0.156922299,0.374432428,0.233933177,0.376872221,0.541909978,0.377922598,0.450382064,0.439302361,0.32775539,0.407165376,0.301209157,0.129266742,0.377626665,0.235230631,0.363874072
Calabria,0.402721171,0.554934556,0.547819452,0.449552005,0.506656532,0.675553646,0.516591016,0.43477307,0.517851223,0.598133757,0.498749623,0.498855327,0,0.610819489,0.485402257,0.471014214,0.534790227,0.529021186,0.516375526,0.566228355,0.48107784,0.703432674,0.56266528,0.433405827,0.478890418,0.457471827,0.606829975,0.557297032,0.439110502,0.489552212,0.438789831,0.507444293,0.430275479,0.509861873,0.597061803,0.408668523,0.561305369,0.529769933,0.563611358,0.551338,0.415663258,0.558266734,0.598526825,0.446969792,0.515661735,0.652152672,0.55983317,0.580314627,0.55679864,0.526042801,0.565238315,0.650879876,0.533750801,0.47411666,0.478404539,0.59406316,0.582085429,0.609699886,0.548761767,0.414152886,0.484211182,0.428456131,0.520474171,0.588417432,0.53557408,0.514074542,0.596724667,0.523931462,0.486526865,0.427882292,0.595419219,0.589596879,0.586091203,0.51443008,0.51699099,0.626539594,0.667092144,0.313602182,0.551167068,0.614541631,0.687899311,0.677532932,0.585569337,0.633956535,0.418733425,0.486389474,0.525829715,0.389447376,0.517487057,0.662167234,0.51843106,0.575785296,0.586522209,0.483927576,0.542723557,0.512585908,0.47589469,0.520090622,0.425894423,0.536594612
Callantsoog,0.615877916,0.360194849,0.283696427,0.238415433,0.161202927,0.533322172,0.346527314,0.230657822,0.377568191,0.42038727,0.520710393,0.387008397,0.610819489,0,0.218275877,0.247639162,0.256125267,0.266954561,0.163673853,0.312055519,0.371346897,0.603731378,0.292086583,0.205479181,0.217669335,0.196730271,0.411068325,0.252281679,0.140571467,0.233939065,0.22950101,0.291065657,0.241668397,0.241678687,0.376081059,0.270808111,0.404436844,0.380498206,0.392790503,0.36203921,0.188911028,0.344429679,0.487688231,0.367434989,0.36732498,0.516219262,0.272411107,0.332564952,0.302706319,0.319363622,0.607444434,0.466546411,0.387151224,0.290181074,0.219652846,0.271120111,0.156109028,0.465918932,0.270317843,0.262285142,0.316671668,0.312960453,0.308961522,0.362572303,0.261295605,0.217133416,0.373208474,0.289124436,0.220413359,0.207441281,0.353675964,0.681443463,0.445048173,0.227648371,0.22699279,0.466967417,0.520760983,0.448025257,0.291464177,0.445552435,0.602306616,0.593126121,0.415397227,0.479363634,0.262117249,0.348481206,0.300353495,0.247970976,0.365480522,0.489509063,0.366237209,0.388248323,0.406953237,0.290787442,0.397832225,0.226923893,0.282427469,0.36496544,0.199349113,0.246899692
České Budejovice,0.433868593,0.261931044,0.189629673,0.109518193,0.108144769,0.369614048,0.228219956,0.107629821,0.234372996,0.316695654,0.390595361,0.259674262,0.485402257,0.218275877,0,0.127755719,0.216810434,0.185422869,0.129014606,0.265485815,0.235374828,0.474480947,0.162371151,0.07702282,0.14607031,0.099221683,0.282831387,0.151424846,0.060842444,0.198032731,0.104203223,0.197182073,0.105097549,0.10554599,0.240473758,0.138533898,0.281962938,0.255405843,0.289648576,0.208174937,0.058865355,0.210885278,0.369133324,0.256743925,0.237413271,0.405970253,0.147372593,0.281852367,0.192871332,0.173940827,0.465714934,0.378090522,0.262078057,0.176307965,0.095332922,0.183015101,0.214156337,0.331337522,0.217480503,0.12530451,0.173691296,0.177937623,0.17589471,0.230823864,0.215389011,0.146706201,0.233594631,0.155009128,0.085117259,0.073787455,0.217317026,0.547026139,0.326519337,0.129538291,0.148889825,0.352235281,0.38345466,0.313283112,0.241516669,0.292574673,0.453194829,0.468254269,0.315493122,0.357293731,0.14162095,0.247934991,0.207404364,0.11888209,0.240432065,0.342749055,0.238406686,0.287171924,0.289426929,0.161644794,0.268106233,0.128467603,0.196698275,0.243080989,0.067316648,0.210758225
Chernobyl,0.405425218,0.28864875,0.221467258,0.100288757,0.161388645,0.273722078,0.220268425,0.027002528,0.233020082,0.339416098,0.39089938,0.259970409,0.471014214,0.247639162,0.127755719,0,0.267358848,0.228774828,0.194139484,0.313266055,0.23993358,0.469157064,0.134916337,0.107703723,0.197848949,0.156323451,0.294125371,0.14832169,0.124591974,0.256372233,0.107273954,0.23418926,0.147155923,0.106233293,0.135062638,0.153695539,0.219139891,0.144112424,0.276886364,0.189271606,0.080560893,0.09757318,0.289185637,0.284336711,0.124458586,0.416626137,0.144207517,0.325301208,0.23185574,0.163091406,0.43912534,0.40832062,0.14490097,0.16854794,0.144944338,0.207378909,0.265360609,0.246614872,0.26527609,0.174568464,0.21182622,0.195224742,0.046476009,0.122797614,0.266367396,0.155528382,0.128426033,0.160487531,0.062109271,0.106119936,0.111578381,0.531149941,0.260268142,0.172793787,0.155824982,0.365119652,0.388535721,0.295386323,0.289487728,0.178492701,0.36370555,0.382956878,0.333481577,0.350477548,0.14140616,0.273750421,0.241559999,0.156691943,0.128889527,0.340810428,0.122394321,0.314059747,0.240087195,0.103239958,0.159297814,0.154737747,0.230116489,0.123565059,0.080506837,0.264892477
Cirencester,0.509813032,0.319546057,0.261836278,0.240856873,0.16863368,0.452758001,0.326242836,0.234718473,0.366299384,0.366189938,0.464473429,0.375477178,0.534790227,0.256125267,0.216810434,0.267358848,0,0.251132029,0.168148541,0.104596377,0.353964144,0.486571156,0.304200771,0.210459665,0.20092425,0.187433638,0.350513044,0.256078553,0.164614576,0.070454604,0.230111223,0.271166702,0.243887691,0.241394851,0.373944938,0.276224116,0.366936796,0.36027915,0.351578267,0.32583283,0.199942902,0.349158785,0.436195746,0.349859444,0.347765916,0.433132181,0.268574452,0.132141273,0.27450351,0.322756513,0.510583937,0.300474449,0.364964398,0.275691473,0.217305007,0.291918922,0.240823298,0.414606416,0.065709364,0.25993132,0.302375355,0.303187633,0.304832657,0.37006288,0.100691969,0.21541246,0.378147994,0.311250339,0.231524784,0.211371174,0.354506519,0.575894755,0.399227647,0.224796481,0.221429916,0.394012155,0.420842058,0.4287811,0.13996234,0.395219026,0.505765074,0.515571884,0.361638133,0.405728686,0.278444798,0.326745476,0.275017264,0.251232239,0.347951809,0.397591488,0.3472869,0.341484658,0.371001947,0.282526617,0.369878481,0.228568415,0.277372519,0.350597601,0.21013716,0.045701737
Cuxhaven,0.496760979,0.283208615,0.189792255,0.213438931,0.17521716,0.427642328,0.31918997,0.197237296,0.353314223,0.329295741,0.4562084,0.373301931,0.529021186,0.266954561,0.185422869,0.228774828,0.251132029,0,0.189249312,0.292505857,0.356618379,0.465102998,0.264117541,0.172785383,0.172214654,0.15332715,0.309122816,0.207835182,0.153350665,0.230609717,0.198439038,0.214057981,0.229727321,0.186556635,0.34278528,0.253520366,0.338098299,0.331100608,0.321111855,0.284800337,0.156179385,0.319468507,0.413048258,0.355453513,0.318623524,0.403907736,0.23115683,0.309407041,0.20816674,0.288648172,0.50705679,0.400800063,0.337868926,0.266440115,0.178705022,0.224183011,0.267504678,0.387400463,0.25687147,0.243035467,0.283530034,0.291824164,0.26995299,0.337384244,0.252345071,0.219129405,0.348224621,0.283818144,0.180246786,0.170119768,0.31972132,0.575888417,0.376100256,0.152770557,0.234892869,0.363893354,0.39195033,0.415270177,0.283847629,0.367114736,0.485603197,0.49408779,0.328015196,0.379265107,0.257222786,0.33814226,0.224867111,0.232980913,0.320482907,0.366195473,0.319964985,0.301885574,0.334939353,0.241016174,0.343386631,0.16192271,0.293974946,0.319380247,0.165038252,0.246947109
Dieren,0.462978819,0.275256932,0.192693095,0.170397518,0.083623154,0.398079392,0.247701151,0.170921077,0.289035395,0.326129586,0.432824502,0.293720382,0.516375526,0.163673853,0.129014606,0.194139484,0.168148541,0.189249312,0,0.218559025,0.268240341,0.472440557,0.207312708,0.145624213,0.132023067,0.121995679,0.291948132,0.154006202,0.078461009,0.152820561,0.161545082,0.210095165,0.173840554,0.159545439,0.287803652,0.21220728,0.323787979,0.312718453,0.310693782,0.263659576,0.12880904,0.272509491,0.404611602,0.28746862,0.296571691,0.407905661,0.16719916,0.242279604,0.199488971,0.223397363,0.486962755,0.34121169,0.313651606,0.198110499,0.143316478,0.187466367,0.161730767,0.369867871,0.176857743,0.197292653,0.240350164,0.242785477,0.235970066,0.286190117,0.173516158,0.13561773,0.298228451,0.211024806,0.147903785,0.14383643,0.261668075,0.566210126,0.363377375,0.138342762,0.152209972,0.358976453,0.386205409,0.35601811,0.202345877,0.329117572,0.478658038,0.496465026,0.325139133,0.368602893,0.198910153,0.268579754,0.217573943,0.19156773,0.297313602,0.345523539,0.296547273,0.297124823,0.318997262,0.220054707,0.324885601,0.143140914,0.208061971,0.298017395,0.137920155,0.165139202
Diptford,0.552532527,0.359788707,0.304858516,0.284811533,0.220128156,0.500944577,0.366726488,0.276988213,0.416499601,0.408026629,0.501308476,0.418622112,0.566228355,0.312055519,0.265485815,0.313266055,0.104596377,0.292505857,0.218559025,0,0.397593853,0.526501936,0.352299522,0.256160747,0.23972337,0.230665483,0.394896648,0.306050421,0.205576259,0.121162116,0.272258812,0.308323631,0.28878293,0.289908867,0.423727316,0.318638577,0.405714373,0.400769822,0.389519489,0.371373528,0.242668753,0.398534666,0.469885028,0.388622771,0.386943627,0.472317697,0.321448754,0.106979027,0.320341626,0.362877621,0.55545633,0.351683659,0.405254153,0.310292721,0.264632872,0.337516,0.2945786,0.45528898,0.050560121,0.302626703,0.347276961,0.348107626,0.352374297,0.419292046,0.150850724,0.256642484,0.424526166,0.360546771,0.282696058,0.251573848,0.409795813,0.607125307,0.439792352,0.269330582,0.264130171,0.435719023,0.469295015,0.469671845,0.201608269,0.440751235,0.54395886,0.552919566,0.402559291,0.445803125,0.325569956,0.364132594,0.316231111,0.293778811,0.389155961,0.446099789,0.386240278,0.383188628,0.409473678,0.324803479,0.410070867,0.276242321,0.322278752,0.39096977,0.251647645,0.079072167
