"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23"
"sit1",0,1.56699300236847,2.52327348516299,1.6002292078133,4.01909156753109,2.54213693803307,0.307270345099779,1.88239085589803,2.14933418496418,2.70548192254769,2.41207126923255,2.52669597931611,2.50281181600596,3.03348555744599,0.0979368796774959,1.22771004125233,0.425440135108767,0.247417314294801,2.53285791912054,1.88106025075683,2.69346117755852,1.55827943273926,2.33079227490144
"sit2",1.56699300236847,0,1.00259781066847,0.0337699833152208,3.41709449411616,1.05800479878516,1.43877175582278,0.326277872994482,0.748608605887942,1.34028477689548,0.898613340093553,1.01894673482418,1.03796546471825,2.67594515096402,1.66352331241268,0.705913652638769,1.48112645671158,1.76789032296693,0.991915335667551,0.324629312582342,1.14164703069875,0.0711738329038647,0.819981444754006
"sit3",2.52327348516299,1.00259781066847,0,0.969595420131346,2.98793527519885,0.901167600284416,2.34403059233921,0.679005877470122,1.01637970832817,1.29766314486075,0.767250314941863,0.814294195727896,0.191024390100979,2.52461247991087,2.6211848697025,1.66333481903412,2.47973209544791,2.69820619579817,0.097061817933197,0.775026691104599,0.651888503707903,1.04070318878861,0.768185091394018
"sit4",1.6002292078133,0.0337699833152208,0.969595420131346,0,3.4050347065679,1.03226653610821,1.47035265282037,0.292713228065373,0.730859325357748,1.32042541986727,0.871227974197055,0.991636010233952,1.00687034804505,2.67175937533642,1.69681785359531,0.732516647654433,1.51474930242788,1.80048816884967,0.958369249929474,0.294763292491145,1.11054595468873,0.0879895513155433,0.793111844903347
"sit5",4.01909156753109,3.41709449411616,2.98793527519885,3.4050347065679,0,3.88555478527615,3.7124437078965,3.28094970428496,3.90435440635931,4.28423365856722,3.7374692012068,3.79897706164532,2.80105722456192,1.034543068345,4.08701548378384,4.04410886080945,4.28980699477227,4.00563230542873,3.08411939846834,3.46170351226582,3.6293398256067,3.48819912527148,3.71948209843563
"sit6",2.54213693803307,1.05800479878516,0.901167600284416,1.03226653610821,3.88555478527615,0,2.46414324573903,0.86252251954213,0.410506690468899,0.399647845817207,0.177355747994233,0.0868741318931443,1.0849758254252,3.36202790609298,2.63330655725149,1.38301621345702,2.35011431219687,2.7658197410658,0.80716636609037,0.745925068797669,0.338235483277511,1.03449890178006,0.243597941095194
"sit7",0.307270345099779,1.43877175582278,2.34403059233921,1.47035265282037,3.7124437078965,2.46414324573903,0,1.73589114244709,2.09013697187277,2.66876300382498,2.32042899827531,2.43868191448076,2.30464766432621,2.72635793175484,0.377647108172369,1.24410133909073,0.66781752080501,0.365313275099103,2.3635696026448,1.76221735391112,2.58016455488625,1.44343718487707,2.23947684402042
"sit8",1.88239085589803,0.326277872994482,0.679005877470122,0.292713228065373,3.28094970428496,0.86252251954213,1.73589114244709,0,0.668132646591074,1.20720313762111,0.687390932396315,0.8039570589312,0.731263717276969,2.61926066477052,1.97958692276047,0.99582160382178,1.8073908545879,2.0753231600148,0.66565612878043,0.181519117940063,0.869275365107406,0.361763263870178,0.620178707069456
"sit9",2.14933418496418,0.748608605887942,1.01637970832817,0.730859325357748,3.90435440635931,0.410506690468899,2.09013697187277,0.668132646591074,0,0.595377894975874,0.347191812035867,0.425901246812727,1.16703955708459,3.28283571101545,2.23865233764749,0.973363450985913,1.9428809522947,2.37820827316046,0.941114839826371,0.498252681452619,0.675690247625159,0.706448684326747,0.289444048114964
"sit10",2.70548192254769,1.34028477689548,1.29766314486075,1.32042541986727,4.28423365856722,0.399647845817207,2.66876300382498,1.20720313762111,0.595377894975874,0,0.56195099822232,0.485667430358822,1.48321157032494,3.75625554032196,2.79089352700064,1.4900736370944,2.45897208216832,2.94117036342674,1.2025210205689,1.0613048866294,0.686227052273282,1.3010219956057,0.604056453814175
