"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10"
"sit1",0,2.40251501265242,2.99045389534145,0.64461593164048,0.657491221584348,2.29189132098839,3.56423234024296,1.10544058694595,3.76478460560902,2.45829401459435
"sit2",2.40251501265242,0,0.622920167289822,2.30155335293633,2.2848735926422,0.368112619847801,2.79621555694551,1.64876862740096,2.93910358612635,3.56250464617593
"sit3",2.99045389534145,0.622920167289822,0,2.92173929275183,2.90533559669727,0.915588065635171,3.11465182051738,2.27145860285619,3.22985768623044,4.14708973051655
"sit4",0.64461593164048,2.30155335293633,2.92173929275183,0,0.0207732857477306,2.09906954864449,2.9752313180277,0.705558555844632,3.17619653700078,1.87060564404443
"sit5",0.657491221584348,2.2848735926422,2.90533559669727,0.0207732857477306,0,2.08082213600367,2.95658013466553,0.685802850500766,3.15755215661873,1.86727582716214
"sit6",2.29189132098839,0.368112619847801,0.915588065635171,2.09906954864449,2.08082213600367,0,2.44863302588312,1.41176129654974,2.59818927059417,3.23199533355161
"sit7",3.56423234024296,2.79621555694551,3.11465182051738,2.9752313180277,2.95658013466553,2.44863302588312,0,2.51368212519357,0.200981751402174,2.42399082767417
"sit8",1.10544058694595,1.64876862740096,2.27145860285619,0.705558555844632,0.685802850500766,1.41176129654974,2.51368212519357,0,2.71158176875804,2.09136031835724
"sit9",3.76478460560902,2.93910358612635,3.22985768623044,3.17619653700078,3.15755215661873,2.59818927059417,0.200981751402174,2.71158176875804,0,2.5819492375766
"sit10",2.45829401459435,3.56250464617593,4.14708973051655,1.87060564404443,1.86727582716214,3.23199533355161,2.42399082767417,2.09136031835724,2.5819492375766,0
