"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24"
"sit1",0,0.676482934376484,1.36484485096959,1.42463562276194,2.38273428051992,1.85949436048896,1.50664496575411,1.95646053818159,2.72139491897021,1.77399069063857,2.98630630495069,2.41889700325793,2.3331530809955,0.695042429023562,1.46201954343212,2.42587960644301,1.98966021357979,0.962329604046285,1.71237625223945,1.66484869436835,1.02649217179752,1.75829041529904,1.95390985153226,3.27007041102947
"sit2",0.676482934376484,0,0.688581330344795,0.789081459483235,2.02337898285346,1.62316865661084,1.38152976701638,1.47186898608923,2.1553936821279,1.14483256406949,2.31359805320062,1.86816873447531,1.74907029429768,1.33074583995526,1.28759025769038,1.81573970216453,1.54880452851254,0.330567740121199,1.50059306831523,1.07449434277017,1.62948243101684,1.42156621059691,1.30300418207131,2.66187956359746
"sit3",1.36484485096959,0.688581330344795,0,0.385947251933215,1.8253797750598,1.63036280557165,1.55324768016553,1.16541706826113,1.68607711295679,0.597076332350401,1.62849176698731,1.44523948185671,1.2342305987308,2.00110264141409,1.43041949053055,1.24873962917263,1.34783573135528,0.477265765362122,1.55743869201245,0.693649171743289,2.29188452099701,1.34342700967257,0.677926911850651,2.07162704788499
"sit4",1.42463562276194,0.789081459483235,0.385947251933215,0,2.20926052241304,2.00847741499326,1.90455597577662,1.54505273227246,1.38748455141494,0.938023648182233,1.71822863041774,1.11847333080889,1.55458422695108,2.10704252894733,1.78531838072548,1.53715356327056,0.962830860380172,0.466006740224043,1.92879933123521,0.326421633861732,2.23457133976963,1.72640466407379,0.953726295786133,2.3178652591779
"sit5",2.38273428051992,2.02337898285346,1.8253797750598,2.20926052241304,0,0.612587472109293,1.01573439491685,0.674308426579824,3.28424883333115,1.33588237115473,2.14516727770808,3.12685880624076,1.01859803922032,2.60911074175369,0.987756699207916,1.1980276194611,3.16162181922793,2.11853020339745,0.754897581562908,2.49259363063243,3.38071739396429,0.624938684495633,1.46520266790863,1.59560650069858
"sit6",1.85949436048896,1.62316865661084,1.63036280557165,2.00847741499326,0.612587472109293,0,0.406470590929048,0.753049436143865,3.25495512101221,1.31338084610403,2.42056810530775,3.04951756307115,1.29381863894379,2.01428408456236,0.403031795817133,1.4787071403834,2.96813088192988,1.79752364060179,0.151627864004466,2.32396870190544,2.82407558598954,0.312400048709846,1.50994664509712,2.08149842138943
"sit7",1.50664496575411,1.38152976701638,1.55324768016553,1.90455597577662,1.01573439491685,0.406470590929048,0,0.982917389621611,3.23203441798205,1.38738257949896,2.61212065603643,2.99845201486325,1.53894832417101,1.61091093518183,0.127052137020144,1.71304725473943,2.83866347348321,1.61220858692827,0.261021237723707,2.23012256167159,2.43998478467587,0.525308308487289,1.60750013764253,2.40114081612623
"sit8",1.95646053818159,1.47186898608923,1.16541706826113,1.54505273227246,0.674308426579824,0.753049436143865,0.982917389621611,0,2.62399126523206,0.663621118479018,1.66789103190361,2.45678101170603,0.556990488949691,2.33820104801932,0.880965108493996,0.735583301600523,2.4908612434699,1.50506832057144,0.792060774718155,1.8209200422012,2.98242273888767,0.470245395788559,0.812725428354651,1.44343187053268
"sit9",2.72139491897021,2.1553936821279,1.68607711295679,1.38748455141494,3.28424883333115,3.25495512101221,3.23203441798205,2.62399126523206,0,1.96658727017191,1.70689623563114,0.309521290741797,2.35452663491229,3.41634240016613,3.10707088393566,2.23042633256843,0.887190279044513,1.82492275909581,3.20658917182068,1.08108537483002,3.30781688650926,2.94757085974239,1.8190943608365,2.68678654070536
"sit10",1.77399069063857,1.14483256406949,0.597076332350401,0.938023648182233,1.33588237115473,1.31338084610403,1.38738257949896,0.663621118479018,1.96658727017191,0,1.30101200107597,1.79327403028915,0.638678582510917,2.31738500957659,1.26180435362184,0.67448979234225,1.85016642697981,1.04132428236461,1.29252062187853,1.18091123058471,2.77040841862917,1.00105711795014,0.227212548159697,1.51813270726483
"sit11",2.98630630495069,2.31359805320062,1.62849176698731,1.71822863041774,2.14516727770808,2.42056810530775,2.61212065603643,1.66789103190361,1.70689623563114,1.30101200107597,0,1.74976883918278,1.14318247421065,3.58733857779279,2.49440140507824,0.956480975110612,2.17695358251788,2.08607357650955,2.4537424525627,1.71158184188117,3.91438215867694,2.13182630772655,1.07969894726418,1.01340182434369
"sit12",2.41889700325793,1.86816873447531,1.44523948185671,1.11847333080889,3.12685880624076,3.04951756307115,2.99845201486325,2.45678101170603,0.309521290741797,1.79327403028915,1.74976883918278,0,2.24476409253053,3.1134150735847,2.87530263012721,2.13999579805324,0.598577532195704,1.53887736121585,2.99085204905143,0.799962399849901,2.99940664775951,2.74742117437899,1.67258871408068,2.68260611396136
