"","Brockman Mine","Meentheena","Mount Bruce","Mount Mckay","Mount Minnie","Newman","Paraburdoo","Tom Price","Yandicoogina"
"Brockman Mine",0,0.0147491895251012,0.0147266037884038,0.0675595873033913,0.0657073899966405,0.0333332301162869,0.0562608498794822,0.0077719059119241,0.0197899544048584
"Meentheena",0.0147491895251012,0,0.0112393922038932,0.0538155963502315,0.0598530509512697,0.0265643374183392,0.0500076543824754,0.0131454072608046,0.0202250084230228
"Mount Bruce",0.0147266037884038,0.0112393922038932,0,0.059869277195259,0.0621545082893395,0.0242527356082695,0.047348754136928,0.00819422914697246,0.0145304727233935
"Mount Mckay",0.0675595873033913,0.0538155963502315,0.059869277195259,0,0.109962461410336,0.0644213754743906,0.104336361940473,0.0590378717890561,0.0550829716046079
"Mount Minnie",0.0657073899966405,0.0598530509512697,0.0621545082893395,0.109962461410336,0,0.0738688309685772,0.101288302541161,0.058799757273055,0.0634371193228223
"Newman",0.0333332301162869,0.0265643374183392,0.0242527356082695,0.0644213754743906,0.0738688309685772,0,0.0585605208883962,0.024468254557748,0.0254139483484618
"Paraburdoo",0.0562608498794822,0.0500076543824754,0.047348754136928,0.104336361940473,0.101288302541161,0.0585605208883962,0,0.0491248438937919,0.0510639938813309
"Tom Price",0.0077719059119241,0.0131454072608046,0.00819422914697246,0.0590378717890561,0.058799757273055,0.024468254557748,0.0491248438937919,0,0.0131041234442553
"Yandicoogina",0.0197899544048584,0.0202250084230228,0.0145304727233935,0.0550829716046079,0.0634371193228223,0.0254139483484618,0.0510639938813309,0.0131041234442553,0
