"","MOM","ORU","ORU2","SKH","TIK","VER"
"MOM",0,0.1229421853307,0.138194467954409,0.066573756740148,0.182246445765505,0.0987235668727311
"ORU",0.1229421853307,0,0.00865751657453511,0.0861226882776117,0.0545442233321543,0.05340765807769
"ORU2",0.138194467954409,0.00865751657453511,0,0.0817008748341794,0.0583786363975246,0.05462796889906
"SKH",0.066573756740148,0.0861226882776117,0.0817008748341794,0,0.143781467005148,0.0444769198429447
"TIK",0.182246445765505,0.0545442233321543,0.0583786363975246,0.143781467005148,0,0.111475001787843
"VER",0.0987235668727311,0.05340765807769,0.05462796889906,0.0444769198429447,0.111475001787843,0
