"","LP","PC","SG","X"
"LP",0,0.0015515125895769,0.00132911211872741,0.000729538012667686
"PC",0.0015515125895769,0,0.00415166453755633,0.00287204845919628
"SG",0.00132911211872741,0.00415166453755633,0,0.00207684595749106
"X",0.000729538012667686,0.00287204845919628,0.00207684595749106,0
