"","sit1","sit2","sit3","sit4"
"sit1",0,2.09079597764454,1.8483853224848,3.14282138396711
"sit2",2.09079597764454,0,3.93348064831249,3.81579247235165
"sit3",1.8483853224848,3.93348064831249,0,3.77755330400267
"sit4",3.14282138396711,3.81579247235165,3.77755330400267,0
