"","mid","north","south","southwest"
"mid",0,0.0242134490009413,0.0211331214497886,0.0548477637059295
"north",0.0242134490009413,0,0.0465436094736782,0.0723661991368916
"south",0.0211331214497886,0.0465436094736782,0,0.0497164526393674
"southwest",0.0548477637059295,0.0723661991368916,0.0497164526393674,0
