"","sit1","sit2","sit3","sit4","sit5"
"sit1",0,3.09737303633349,1.42481286646451,1.48878489462419,2.57576230573828
"sit2",3.09737303633349,0,3.84984288940377,3.82774458954821,3.60205511542291
"sit3",1.42481286646451,3.84984288940377,0,2.74499946945501,1.58402928102084
"sit4",1.48878489462419,3.82774458954821,2.74499946945501,0,4.05906207520004
"sit5",2.57576230573828,3.60205511542291,1.58402928102084,4.05906207520004,0
