"","DC","OF","PA","VD","WR"
"DC",0,0.211143942847593,0.0468655714964537,0.0337533474913176,-0.0784262043334064
"OF",0.211143942847593,0,0.189356165059588,0.199620584667207,0.110525359320593
"PA",0.0468655714964537,0.189356165059588,0,0.0349229629593288,-0.0389712974249388
"VD",0.0337533474913176,0.199620584667207,0.0349229629593288,0,-0.0181240803113422
"WR",-0.0784262043334064,0.110525359320593,-0.0389712974249388,-0.0181240803113422,0
