"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10"
"sit1",0,1.50517041541621,3.78123268778551,0.994591301893614,2.78570841847702,2.89907799583949,0.201234399095679,0.982300227094251,0.273297460271029,1.12160470543832
"sit2",1.50517041541621,0,2.32007107221364,1.94272815643657,2.36713397225798,2.63311856972294,1.337535910342,1.91883664061611,1.37881178574623,1.78562838553615
"sit3",3.78123268778551,2.32007107221364,0,3.89595013181132,3.8085299354407,4.14728732512765,3.63473083848333,4.21361300749103,3.60012169446621,4.03893527777883
"sit4",0.994591301893614,1.94272815643657,3.89595013181132,0,3.72734265608418,3.86712155096351,1.13772224101097,1.95042289392309,0.813315955922154,2.11471467847116
"sit5",2.78570841847702,2.36713397225798,3.8085299354407,3.72734265608418,0,0.340395940544188,2.60761136008019,2.13783136590157,2.91553171861449,1.84607373596484
"sit6",2.89907799583949,2.63311856972294,4.14728732512765,3.86712155096351,0.340395940544188,0,2.73299779125864,2.15760614611334,3.05420839532258,1.8810661632542
"sit7",0.201234399095679,1.337535910342,3.63473083848333,1.13772224101097,2.60761136008019,2.73299779125864,0,0.923755547974497,0.336976405232154,1.01300830264974
"sit8",0.982300227094251,1.91883664061611,4.21361300749103,1.95042289392309,2.13783136590157,2.15760614611334,0.923755547974497,0,1.23777430740015,0.298958326178492
"sit9",0.273297460271029,1.37881178574623,3.60012169446621,0.813315955922154,2.91553171861449,3.05420839532258,0.336976405232154,1.23777430740015,0,1.34762724731867
"sit10",1.12160470543832,1.78562838553615,4.03893527777883,2.11471467847116,1.84607373596484,1.8810661632542,1.01300830264974,0.298958326178492,1.34762724731867,0
