"","CC","NC","SC","SN"
"CC",0,0.155688630835226,0.17349573366134,0.11998600031423
"NC",0.155688630835226,0,0.195590025790967,0.0935452752857113
"SC",0.17349573366134,0.195590025790967,0,0.12908535201994
"SN",0.11998600031423,0.0935452752857113,0.12908535201994,0
