"","sit1","sit2","sit3","sit4"
"sit1",0,1.91416607251289,3.21896617670072,3.91291332822583
"sit2",1.91416607251289,0,3.75675874271212,2.5317312048701
"sit3",3.21896617670072,3.75675874271212,0,3.47967939335676
"sit4",3.91291332822583,2.5317312048701,3.47967939335676,0
