"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28"
"sit1",0,2.21565466894781,1.57665556290614,1.2191230005399,0.495712321097718,2.50977052247373,0.717849834286891,0.514863227010562,2.07056392474626,2.38350369018539,1.10805984800557,2.17319665201652,0.469914006751488,2.0376880085423,1.02794282833925,2.74831450969786,2.51494687602319,2.04638751741295,1.08809471869656,2.93692747717611,1.32701576843352,0.36512336651625,2.99177968640218,0.602617863050063,1.69431060878558,0.838295371533419,1.64976031575703,2.80540407005107
"sit2",2.21565466894781,0,0.822192142442298,1.97897681093527,1.74020813841316,0.858927438963573,2.36782122495971,2.71976309373107,2.71423583138929,2.03265478198892,1.78580275973899,2.99129810294069,1.9710642679538,1.11272861982641,2.35236926353482,0.540852290512068,0.781516706987693,3.06819442209689,1.26806383919608,2.89746086092037,2.07868602059956,1.85119276472229,2.38969656781047,2.35354424338476,0.550812181466457,1.92123867281441,1.38815585479097,1.41337671573111
"sit3",1.57665556290614,0.822192142442298,0,1.15724662891837,1.08115761938943,1.5333425654373,1.93528995846764,2.09102320018716,2.69726946893773,2.31894689283639,1.56920351277645,2.9350386112746,1.47662346731411,1.47107021366765,2.0325850224889,1.27301223439446,1.48256417430398,2.94252486560858,0.972509543104383,3.15069661392712,1.92116231840455,1.2373181277566,2.8106618601188,1.88413920187592,0.325467439287189,1.57939181257966,1.48199038538777,2.04574652167051
"sit4",1.2191230005399,1.97897681093527,1.15724662891837,0,0.962228815082643,2.64098009179286,1.89740273760913,1.60119271570905,3.11563370960606,3.10198525173125,1.97217895546995,3.27603227779176,1.48621486800975,2.42231114913415,2.15654216931518,2.39592768991967,2.6029948122286,3.19132051074113,1.55017189408252,3.82877367550599,2.29989840808876,1.12034263215022,3.67309835064006,1.79325289119495,1.46042132395897,1.80513203265151,2.23681675887467,3.10800240257011
"sit5",0.495712321097718,1.74020813841316,1.08115761938943,0.962228815082643,0,2.11830244727333,0.989233854698121,1.0104889720154,2.15429111627734,2.23531520428392,1.027262485347,2.31495918471357,0.539016187346732,1.71940741174809,1.20958298397052,2.26652857995231,2.111557656356,2.23837195660951,0.746666671785575,2.90321352606801,1.34171761580129,0.184741330449062,2.8315826111358,0.903154311028391,1.20769131968049,0.843074918586367,1.41013521729201,2.47544837787798
"sit6",2.50977052247373,0.858927438963573,1.5333425654373,2.64098009179286,2.11830244727333,0,2.40739681538071,2.95606360010459,2.28066209696923,1.37864525845033,1.69804592716174,2.57361690462264,2.13417299241339,0.621469402632438,2.27219280531998,1.02510434569596,0.0927853429185016,2.71355564437257,1.42265572809986,2.20842496344653,1.86971201090479,2.16228118399477,1.60166888125533,2.43555336239283,1.20808586201175,1.93365121127951,1.09154606615198,0.55479258339466
"sit7",0.717849834286891,2.36782122495971,1.93528995846764,1.89740273760913,0.989233854698121,2.40739681538071,0,0.756933064311833,1.38860727211837,1.90078444001049,0.726380374721552,1.46414193889171,0.468275461250259,1.83141437187117,0.33651406815887,2.90585445869867,2.43882149391037,1.32881325406454,1.09998589286155,2.31704697976716,0.759051676426398,0.806109585064992,2.49695588387954,0.118623676065845,1.93578253208133,0.474544530130699,1.36517754611743,2.56590734577665
"sit8",0.514863227010562,2.71976309373107,2.09102320018716,1.60119271570905,1.0104889720154,2.95606360010459,0.756933064311833,0,2.12035956027245,2.64027190329514,1.39813180556635,2.15406967889669,0.8248525393011,2.4397670311884,1.08732336662073,3.25543352126749,2.9696690338519,1.97654268207182,1.54008173575765,3.07057854252318,1.50857110728802,0.871496215069369,3.24246452161138,0.654789758095452,2.20555697787231,1.11187774652857,2.00968999716104,3.20195968172421
"sit9",2.07056392474626,2.71423583138929,2.69726946893773,3.11563370960606,2.15429111627734,2.28066209696923,1.38860727211837,2.12035956027245,0,1.05441417481188,1.17038590371016,0.293314685865998,1.6575519135727,1.68894581626704,1.05395300098128,3.16177376929697,2.35550565417288,0.484611950891589,1.73629976756369,1.00292152117069,0.820896456958589,2.00949501808309,1.46406929762186,1.50563495340802,2.52884347357015,1.31161434376185,1.32613505925046,2.11696249652445
"sit10",2.38350369018539,2.03265478198892,2.31894689283639,3.10198525173125,2.23531520428392,1.37864525845033,1.90078444001049,2.64027190329514,1.05441417481188,0,1.27564653515636,1.33322057919098,1.91367589085607,0.921373216079624,1.61048145598522,2.37124249901732,1.46658642301438,1.53727373379829,1.55182416558176,0.865096727018845,1.1437307416481,2.16239649840551,0.608372317898598,1.98951203185851,2.05411766689234,1.55365757892451,0.870838332452731,1.0914890588268
"sit11",1.10805984800557,1.78580275973899,1.56920351277645,1.97217895546995,1.027262485347,1.69804592716174,0.726380374721552,1.39813180556635,1.17038590371016,1.27564653515636,0,1.37962277849386,0.638149943322535,1.10801587659957,0.584038242631201,2.30482883451819,1.73668326103591,1.37333903833104,0.597714937220081,1.87835084303695,0.356928238846844,0.91677629951904,1.8840063775506,0.780001042538582,1.45909401997514,0.286626938878745,0.638801854461617,1.84006771497575
"sit12",2.17319665201652,2.99129810294069,2.9350386112746,3.27603227779176,2.31495918471357,2.57361690462264,1.46414193889171,2.15406967889669,0.293314685865998,1.33322057919098,1.37962277849386,0,1.79547383894291,1.9794719956215,1.1458118002969,3.44686384013009,2.64806151798699,0.257010673733853,1.96535952836373,1.13680628218413,1.02271344313035,2.15789009716346,1.69556311036373,1.58272249473263,2.78311931918896,1.47677234548515,1.60412589299609,2.40567521255121
"sit13",0.469914006751488,1.9710642679538,1.47662346731411,1.48621486800975,0.539016187346732,2.13417299241339,0.468275461250259,0.8248525393011,1.6575519135727,1.91367589085607,0.638149943322535,1.79547383894291,0,1.61693008184403,0.672113260014215,2.51191570807027,2.15085795142043,1.7052593358065,0.731567558108103,2.48231793389024,0.876020988093371,0.366298451872975,2.52199115294979,0.407515901183447,1.50351532415898,0.373412446174376,1.20078256290745,2.38158264151446
"sit14",2.0376880085423,1.11272861982641,1.47107021366765,2.42231114913415,1.71940741174809,0.621469402632438,1.83141437187117,2.4397670311884,1.68894581626704,0.921373216079624,1.10801587659957,1.9794719956215,1.61693008184403,0,1.66791014276272,1.49032387168753,0.682347093352414,2.10482673510047,0.974455545520712,1.78644532117065,1.25121324691086,1.71970322749032,1.34427013927822,1.87288747850164,1.17545252938478,1.3653553511527,0.478465984315277,0.767728260425272
"sit15",1.02794282833925,2.35236926353482,2.0325850224889,2.15654216931518,1.20958298397052,2.27219280531998,0.33651406815887,1.08732336662073,1.05395300098128,1.61048145598522,0.584038242631201,1.1458118002969,0.672113260014215,1.66791014276272,0,2.87888264276931,2.31482062226137,1.03572080640488,1.10714209149961,1.98337415046982,0.4737948249201,1.03816112465795,2.19523794530066,0.452119870790843,1.97890414975741,0.454237391450367,1.18968130813653,2.36520582224136
"sit16",2.74831450969786,0.540852290512068,1.27301223439446,2.39592768991967,2.26652857995231,1.02510434569596,2.90585445869867,3.25543352126749,3.16177376929697,2.37124249901732,2.30482883451819,3.44686384013009,2.51191570807027,1.49032387168753,2.87888264276931,0,0.932319244878152,3.54414771956307,1.80590159394782,3.22055585251536,2.58001321903417,2.38501112949146,2.62598248348539,2.89351546076931,1.06036875401461,2.45460703675859,1.84945079006275,1.53331463666761
"sit17",2.51494687602319,0.781516706987693,1.48256417430398,2.6029948122286,2.111557656356,0.0927853429185016,2.43882149391037,2.9696690338519,2.35550565417288,1.46658642301438,1.73668326103591,2.64806151798699,2.15085795142043,0.682347093352414,2.31482062226137,0.932319244878152,0,2.78327093587319,1.43138549016365,2.29952564419474,1.92217731322117,2.1632738014464,1.6943526840187,2.46279654000244,1.15854712466326,1.96435213126795,1.1429545308438,0.63744826790902
