"","Guiana","Jurua","Madeira","North_Mamore","South_Mamore"
"Guiana",0,0.173795358678776,0.115990202939118,0.180957490999723,0.187984970611721
"Jurua",0.173795358678776,0,0.113342295412536,0.179793632323459,0.148191407479483
"Madeira",0.115990202939118,0.113342295412536,0,0.0900139870435807,0.105717106882953
"North_Mamore",0.180957490999723,0.179793632323459,0.0900139870435807,0,-0.0023124350000149
"South_Mamore",0.187984970611721,0.148191407479483,0.105717106882953,-0.0023124350000149,0
