"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10"
"sit1",0,2.61717139448395,2.20611711635431,2.92950740793268,4.09045239103671,4.28228499496098,3.3434285240464,3.46324164554255,3.41779721646254,4.27913687071317
"sit2",2.61717139448395,0,1.91732478489199,0.613206236799465,1.57674818494951,1.85604044016602,2.55562887262481,3.07727387064127,2.81430758396049,3.07806055547585
"sit3",2.20611711635431,1.91732478489199,0,1.68890045249853,2.64602662526435,2.67339509623621,1.14653846464612,1.40409487292369,1.26727503370755,2.07309217152797
"sit4",2.92950740793268,0.613206236799465,1.68890045249853,0,1.16279949384914,1.36656067771081,2.07928884504244,2.64178821566567,2.3544686804764,2.50170453383929
"sit5",4.09045239103671,1.57674818494951,2.64602662526435,1.16279949384914,0,0.362936265582855,2.58433715834284,3.18475087996902,2.86759684336717,2.57162166829538
"sit6",4.28228499496098,1.85604044016602,2.67339509623621,1.36656067771081,0.362936265582855,0,2.45385656081817,3.04678847499344,2.7294635313472,2.32240999740006
"sit7",3.3434285240464,2.55562887262481,1.14653846464612,2.07928884504244,2.58433715834284,2.45385656081817,0,0.600978354943974,0.286406378510176,0.962030091252738
"sit8",3.46324164554255,3.07727387064127,1.40409487292369,2.64178821566567,3.18475087996902,3.04678847499344,0.600978354943974,0,0.317756958000817,1.20928282994145
"sit9",3.41779721646254,2.81430758396049,1.26727503370755,2.3544686804764,2.86759684336717,2.7294635313472,0.286406378510176,0.317756958000817,0,1.01584346175139
"sit10",4.27913687071317,3.07806055547585,2.07309217152797,2.50170453383929,2.57162166829538,2.32240999740006,0.962030091252738,1.20928282994145,1.01584346175139,0
