"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30","sit31"
"sit1",0,1.20130408026913,2.05752982117478,1.72350705034722,2.83205909550729,1.7599722527059,1.74113690222855,1.72122624026387,2.00160398406362,1.04594842195785,0.526696644445277,1.54605469198595,1.66105171667059,2.76825712646125,0.657739898759784,1.51875251431159,0.958548354678356,2.12307137968353,1.32145417401245,1.62837013578912,2.76830006180539,1.36582014159333,1.69624275708028,2.62599039964236,0.0340581325411621,2.03443813225023,0.971721426215233,2.04088668711073,1.79125030949594,0.70106302311494,3.36127441343367
"sit2",1.20130408026913,0,2.69918880096378,2.38437639488723,3.8529896079635,1.91779480396932,2.88752908691275,2.20088827264671,2.18886907656592,2.06856946560059,0.681492980557552,2.70644158360533,1.60526356604746,3.65277669154161,1.5236203109935,2.23951642495365,1.69876625304481,2.75438062263807,0.976927542888596,2.82947115221838,3.29210930535025,1.82277495965245,2.20297295211804,3.76550826387023,1.21978081249479,2.12994323846903,1.84203445181051,2.00047059536893,1.89088071982119,1.51501917530884,3.78524434971242
"sit3",2.05752982117478,2.69918880096378,0,0.3360141575575,1.58460842348847,1.05257267836672,2.77678718449363,0.540590039670595,0.944485864418634,1.19283384594662,2.33657943786735,1.61976984275206,1.41273982044506,1.10967582511845,1.40079634360566,0.540268267628549,1.10828026936419,0.0663783287230493,1.89042685120896,2.20411695135221,0.729156231211627,0.881373801801555,0.51988671738479,2.00178558484989,2.0243836093823,1.10562255593097,1.09765769025216,1.33845950247341,1.13744747966848,1.36356296445152,1.35029930136066
"sit4",1.72350705034722,2.38437639488723,0.3360141575575,0,1.7132312215873,0.892186571820414,2.5478185885014,0.354161948516813,0.873291105303709,0.907643892253547,2.00270204004422,1.44606067467484,1.21204636052874,1.32911985454635,1.06613333177329,0.215779103377152,0.772297578815699,0.400508849840549,1.61941118376966,2.00706757561929,1.05021360578915,0.59105216571235,0.310332994480758,2.00837632917283,1.6905237061121,1.02496564827285,0.771270911638117,1.23205002495028,0.981759408848017,1.02790980942657,1.66071371032784
"sit5",2.83205909550729,3.8529896079635,1.58460842348847,1.7132312215873,0,2.59908440224729,2.48273425549637,2.05774185100494,2.52641971165758,1.80379475870506,3.29567933661415,1.43923032734093,2.92447080564447,0.623065425113661,2.33133017656103,1.7407436893876,2.1742817680299,1.58364295607653,3.26823238393687,1.87509334959724,1.78662481588905,2.26416579792927,2.01892305651835,0.763451056866433,2.80009957196195,2.6871886169844,2.0125098582554,2.91518548438382,2.68796176887026,2.33797838824283,2.22204721666862
"sit6",1.7599722527059,1.91779480396932,1.05257267836672,0.892186571820414,2.59908440224729,0,3.0960702783974,0.54155481326248,0.273362350685236,1.45401505917827,1.79430731791182,2.17085805777595,0.378360677189527,2.16176614668561,1.22017122646428,0.934803470558238,0.977964353198192,1.07914080541068,0.970306700804401,2.65596078920997,1.43807065525592,0.510563275105301,0.58225621851125,2.88354622492235,1.73561184291035,0.27512770330039,1.14912971633114,0.371454163862656,0.0896211057317296,1.15629692425046,1.87432287519483
"sit7",1.74113690222855,2.88752908691275,2.77678718449363,2.5478185885014,2.48273425549637,3.0960702783974,0,2.77387431862781,3.25088126152275,1.67375683938311,2.21469778970311,1.20577529095792,3.16115993036008,2.80637223158444,1.92633425967616,2.35525123197002,2.12044373916913,2.8347539762914,3.0038601269537,0.628865462685926,3.45668829652969,2.58904495410035,2.72810444747218,1.85424780921599,1.73577380608793,3.3503580945356,1.949693415038,3.4529914138377,3.16192931388133,1.98877612340981,4.07542605992196
"sit8",1.72122624026387,2.20088827264671,0.540590039670595,0.354161948516813,2.05774185100494,0.54155481326248,2.77387431862781,0,0.53090875092903,1.10065228541974,1.910322708727,1.7367199209398,0.880607904523399,1.63637122260477,1.0805001072393,0.448381644146463,0.778934283128467,0.581552069211631,1.35475607706371,2.27058374885688,1.10175310171374,0.388212167839758,0.0493961951970423,2.36018684887606,1.69070553758828,0.676287647734363,0.867385901196547,0.878162280389738,0.630742498836607,1.02724110698247,1.65477768854478
"sit9",2.00160398406362,2.18886907656592,0.944485864418634,0.873291105303709,2.52641971165758,0.273362350685236,3.25088126152275,0.53090875092903,0,1.58367928527321,2.06168599959666,2.25835528529176,0.615510859462186,2.04289678599993,1.42768959933099,0.976233170352425,1.15898340519164,0.955398313729494,1.2332580042792,2.776096056412,1.2106143618194,0.677442620054986,0.580018300260277,2.8799429963709,1.97565215104838,0.161144837060307,1.30482522610789,0.398345132593235,0.303257515937548,1.36549795280438,1.61158455198207
"sit10",1.04594842195785,2.06856946560059,1.19283384594662,0.907643892253547,1.80379475870506,1.45401505917827,1.67375683938311,1.10065228541974,1.58367928527321,0,1.49190169779812,0.762500475185007,1.59576991634602,1.72706396532731,0.55330600186313,0.699203012632775,0.537777772725745,1.25774479952543,1.66547767400897,1.20196953089721,1.91893492796603,0.94425821833634,1.0554603468363,1.7225167689328,1.01262194249119,1.69327226062239,0.33015512763804,1.82241044614233,1.52871699000421,0.579007561386929,2.54263959394533
