"","sit1","sit2","sit3","sit4","sit5","sit6","sit7"
"sit1",0,1.30648173548891,3.06312524893033,1.25277390643628,3.56273811374727,1.79494857983383,0.481805944194348
"sit2",1.30648173548891,0,4.36958509968498,1.5708122851915,3.97340609068859,2.72821612146162,1.75580304724594
"sit3",3.06312524893033,4.36958509968498,0,3.57731797615283,4.32117634254481,2.5778514945392,2.63471512179456
"sit4",1.25277390643628,1.5708122851915,3.57731797615283,0,2.45729728589861,1.30705288818414,1.60040395138711
"sit5",3.56273811374727,3.97340609068859,4.32117634254481,2.45729728589861,0,2.05347859291072,3.72537518755087
"sit6",1.79494857983383,2.72821612146162,2.5778514945392,1.30705288818414,2.05347859291072,0,1.79484770430349
"sit7",0.481805944194348,1.75580304724594,2.63471512179456,1.60040395138711,3.72537518755087,1.79484770430349,0
