"","Belarus","France","Mongolia","Norway","Ru:Azas","Ru:Konda","Ru:Voronezh"
"Belarus",0,0.577745223360188,0.445568468201369,0.599324880716321,0.485652361434979,0.456199278853659,0.325575808421113
"France",0.577745223360188,0,0.908230542845481,0.74550434120775,0.927625724686531,0.867421830110425,0.655314059206249
"Mongolia",0.445568468201369,0.908230542845481,0,0.702544954599458,0.791044488691485,0.708227311280746,0.549752692540067
"Norway",0.599324880716321,0.74550434120775,0.702544954599458,0,0.732790805231051,0.724972674140842,0.612682004643914
"Ru:Azas",0.485652361434979,0.927625724686531,0.791044488691485,0.732790805231051,0,0.763016008069491,0.596954130889015
"Ru:Konda",0.456199278853659,0.867421830110425,0.708227311280746,0.724972674140842,0.763016008069491,0,0.561612670251939
"Ru:Voronezh",0.325575808421113,0.655314059206249,0.549752692540067,0.612682004643914,0.596954130889015,0.561612670251939,0
