"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15"
"sit1",0,1.79587674160237,2.29129536230971,1.58437313285881,3.19766163983557,1.44462473671808,1.84627181215247,2.29566910499738,0.81623197892856,3.21688233795496,1.98855784427768,1.23074169778663,3.34143650225448,1.19575387096296,2.43419529544257
"sit2",1.79587674160237,0,2.22845752624427,0.75822313734513,1.4280428902363,1.49705239708949,0.270963929248945,0.689377066155208,1.31673070625308,2.74372812448507,2.63864027629183,0.583573303635078,1.61878767074717,2.48432595312396,1.03839024382471
"sit3",2.29129536230971,2.22845752624427,0,2.77864282053841,3.28214676590589,3.23929148597009,2.49110809601605,2.89257035274489,1.56583561009247,4.86548062853276,4.16236244477236,2.20684911244818,3.56659625521919,3.48456432583083,3.26492903594992
"sit4",1.58437313285881,0.75822313734513,2.77864282053841,0,1.76667159378727,0.764926588336984,0.557472625853067,0.807439023907617,1.47930421396413,2.08820892859774,1.90689710986807,0.587040877480753,1.84021247031579,1.9129872279318,0.853591904286296
"sit5",3.19766163983557,1.4280428902363,3.28214676590589,1.76667159378727,0,2.45634439565801,1.35369900336837,0.9592573661212,2.73417370517863,2.80849416654909,3.51449880116931,1.96717227968371,0.307010513373554,3.67774004268321,1.09139191510581
"sit6",1.44462473671808,1.49705239708949,3.23929148597009,0.764926588336984,2.45634439565801,0,1.32109582682528,1.5156299324739,1.7357708401019,1.78120139800362,1.14410330357794,1.10767251814323,2.47524430629565,1.27814011671349,1.41119871875942
"sit7",1.84627181215247,0.270963929248945,2.49110809601605,0.557472625853067,1.35369900336837,1.32109582682528,0,0.484550662750898,1.47581801095288,2.47634251218189,2.46414756976142,0.619840161738028,1.50041179909927,2.40394720955539,0.7877190437596
"sit8",2.29566910499738,0.689377066155208,2.89257035274489,0.807439023907617,0.9592573661212,1.5156299324739,0.484550662750898,0,1.9603298460625,2.27566181960876,2.61439967239659,1.08930946302202,1.05092782392887,2.71901876711175,0.402178404631929
"sit9",0.81623197892856,1.31673070625308,1.56583561009247,1.47930421396413,2.73417370517863,1.7357708401019,1.47581801095288,1.9603298460625,0,3.46730630495231,2.59706289586091,0.917814742228726,2.93540613751613,1.95955239810677,2.21919934725986
"sit10",3.21688233795496,2.74372812448507,4.86548062853276,2.08820892859774,2.80849416654909,1.78120139800362,2.47634251218189,2.27566181960876,3.46730630495231,0,1.78922810410376,2.66084381260183,2.62673861075313,2.65823820369898,1.89243062549791
"sit11",1.98855784427768,2.63864027629183,4.16236244477236,1.90689710986807,3.51449880116931,1.14410330357794,2.46414756976142,2.61439967239659,2.59706289586091,1.78922810410376,0,2.20060160385602,3.48221346041355,0.994049676668908,2.4270995130552
"sit12",1.23074169778663,0.583573303635078,2.20684911244818,0.587040877480753,1.96717227968371,1.10767251814323,0.619840161738028,1.08930946302202,0.917814742228726,2.66084381260183,2.20060160385602,0,2.12019314116277,1.92610363788457,1.30746971566333
"sit13",3.34143650225448,1.61878767074717,3.56659625521919,1.84021247031579,0.307010513373554,2.47524430629565,1.50041179909927,1.05092782392887,2.93540613751613,2.62673861075313,3.48221346041355,2.12019314116277,0,3.72838709739304,1.06731683602929
"sit14",1.19575387096296,2.48432595312396,3.48456432583083,1.9129872279318,3.67774004268321,1.27814011671349,2.40394720955539,2.71901876711175,1.95955239810677,2.65823820369898,0.994049676668908,1.92610363788457,3.72838709739304,0,2.67606200734237
"sit15",2.43419529544257,1.03839024382471,3.26492903594992,0.853591904286296,1.09139191510581,1.41119871875942,0.7877190437596,0.402178404631929,2.21919934725986,1.89243062549791,2.4270995130552,1.30746971566333,1.06731683602929,2.67606200734237,0
