"","sit1","sit2","sit3","sit4","sit5","sit6","sit7"
"sit1",0,1.27696914227161,3.71266015845639,3.63117985850506,3.06324906405103,2.9817613498115,3.31593954396236
"sit2",1.27696914227161,0,2.58371761563451,2.82171845693069,2.69411946312632,2.7569700371059,3.68831126495893
"sit3",3.71266015845639,2.58371761563451,0,1.24717657789057,2.31528240626619,2.62945643447449,4.23179432928121
"sit4",3.63117985850506,2.82171845693069,1.24717657789057,0,1.23681637286038,1.57054813772679,3.18148148287413
"sit5",3.06324906405103,2.69411946312632,2.31528240626619,1.23681637286038,0,0.333734657830127,1.95012405608613
"sit6",2.9817613498115,2.7569700371059,2.62945643447449,1.57054813772679,0.333734657830127,0,1.61906693474018
"sit7",3.31593954396236,3.68831126495893,4.23179432928121,3.18148148287413,1.95012405608613,1.61906693474018,0
