"","14CCUT1_40","14CCUT2_59","14CCUT3_21","14HEUT1_44","14HEUT2_24","14HEUT3_15","14HEUT4_34"
"14CCUT1_40",0,0.100324036627804,0.408718716675698,0.439101870395345,0.649861930019246,0.606002142082065,0.559689379887794
"14CCUT2_59",0.100324036627804,0,0.392855217433852,0.45507173147236,0.659068926156958,0.61508825456451,0.576607233134802
"14CCUT3_21",0.408718716675698,0.392855217433852,0,0.324660366902004,0.550742191122821,0.4749729924913,0.452552481545352
"14HEUT1_44",0.439101870395345,0.45507173147236,0.324660366902004,0,0.233610129078147,0.0844232448081432,0.122733342418538
"14HEUT2_24",0.649861930019246,0.659068926156958,0.550742191122821,0.233610129078147,0,0.266704373622189,0.151789620649284
"14HEUT3_15",0.606002142082065,0.61508825456451,0.4749729924913,0.0844232448081432,0.266704373622189,0,0.0905521336750126
"14HEUT4_34",0.559689379887794,0.576607233134802,0.452552481545352,0.122733342418538,0.151789620649284,0.0905521336750126,0
