"","Austria","Croatia","France","Italy","Slovenia","Switzerland"
"Austria",0,0.0557681233652331,0.0495939211185448,0.0284308697439984,0.0291395689419568,0.028441536412944
"Croatia",0.0557681233652331,0,0.0694302719880928,0.0563903982256672,0.0486937279941254,0.0687378261699244
"France",0.0495939211185448,0.0694302719880928,0,0.00942330042195675,0.0570950375508663,0.0368853071895824
"Italy",0.0284308697439984,0.0563903982256672,0.00942330042195675,0,0.0403242634254318,0.0227535380895825
"Slovenia",0.0291395689419568,0.0486937279941254,0.0570950375508663,0.0403242634254318,0,0.0500028462976338
"Switzerland",0.028441536412944,0.0687378261699244,0.0368853071895824,0.0227535380895825,0.0500028462976338,0
