"","sit1","sit2","sit3","sit4","sit5","sit6"
"sit1",0,1.27692342560808,1.89883420781898,2.08645419840522,2.1809269693828,2.57825477558914
"sit2",1.27692342560808,0,2.39767343071094,2.69370516259341,1.38145866800504,3.74066957359706
"sit3",1.89883420781898,2.39767343071094,0,3.92558299029497,2.04199125121104,2.12556341287028
"sit4",2.08645419840522,2.69370516259341,3.92558299029497,0,4.01385396090589,3.73643720470126
"sit5",2.1809269693828,1.38145866800504,2.04199125121104,4.01385396090589,0,3.99135380004241
"sit6",2.57825477558914,3.74066957359706,2.12556341287028,3.73643720470126,3.99135380004241,0
