"","Pop_1_WestForest","Pop_2_BorealForest","Pop_3_Arctic","Pop_4_HighArcticBaffin","Pop_5_BritishColumbia","Pop_6_AtlanticForest"
"Pop_1_WestForest",0,0.0323797060365248,0.0745541162925451,0.163343466730603,0.138985460901475,0.103939645764215
"Pop_2_BorealForest",0.0323797060365248,0,0.0414023401169315,0.126793640456753,0.121359279281657,0.0715590866073187
"Pop_3_Arctic",0.0745541162925451,0.0414023401169315,0,0.0922837971626928,0.163420268631488,0.0985670814184698
"Pop_4_HighArcticBaffin",0.163343466730603,0.126793640456753,0.0922837971626928,0,0.27753098696522,0.187703709716746
"Pop_5_BritishColumbia",0.138985460901475,0.121359279281657,0.163420268631488,0.27753098696522,0,0.188184842224769
"Pop_6_AtlanticForest",0.103939645764215,0.0715590866073187,0.0985670814184698,0.187703709716746,0.188184842224769,0
