"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9"
"sit1",0,1.28236366872458,1.42417466750796,0.109324597891583,3.56123204084117,2.58046211973681,1.88985292511384,1.77026499701156,1.69560203426427
"sit2",1.28236366872458,0,1.16943512520673,1.24649745155724,3.27223466431201,1.41804178223221,2.3675207005396,3.05240615233784,0.45615255712085
"sit3",1.42417466750796,1.16943512520673,0,1.4808976083929,2.22476845468858,2.45837357308424,1.30784503509795,2.87187726298076,1.17975378667039
"sit4",0.109324597891583,1.24649745155724,1.4808976083929,0,3.63959368537358,2.51229733732157,1.99472474771871,1.8155624298161,1.67258649256356
"sit5",3.56123204084117,3.27223466431201,2.22476845468858,3.63959368537358,0,4.20069239650781,2.08891497730642,4.53077276763433,3.05999004127361
"sit6",2.58046211973681,1.41804178223221,2.45837357308424,2.51229733732157,4.20069239650781,0,3.73998921851457,4.30647713001072,1.28045887999627
"sit7",1.88985292511384,2.3675207005396,1.30784503509795,1.99472474771871,2.08891497730642,3.73998921851457,0,2.45054877460356,2.47421841807487
"sit8",1.77026499701156,3.05240615233784,2.87187726298076,1.8155624298161,4.53077276763433,4.30647713001072,2.45054877460356,0,3.45539509826564
"sit9",1.69560203426427,0.45615255712085,1.17975378667039,1.67258649256356,3.05999004127361,1.28045887999627,2.47421841807487,3.45539509826564,0
