"","C","E","Freycinet","N","Narawntapu","NE","NW","SE","W"
"C",0,0.0339088753854107,0.0864468933827091,0.0190623740386063,0.0285923236966689,0.0553600738722891,0.069345648339729,0.00819738989653891,0.0344127139478647
"E",0.0339088753854107,0,0.0664803084844613,0.0230743837182838,0.0323202763280418,-0.00874920545400533,0.109763320446267,6.93175483126101e-05,0.0956528107751929
"Freycinet",0.0864468933827091,0.0664803084844613,0,0.0893245288443017,0.0464793078248018,0.059244362089487,0.112836441629651,0.0516054845550105,0.146718227947681
"N",0.0190623740386063,0.0230743837182838,0.0893245288443017,0,0.00869936435597121,0.04086561367258,0.092716503075422,0.0097721074487334,0.0766723128553418
"Narawntapu",0.0285923236966689,0.0323202763280418,0.0464793078248018,0.00869936435597121,0,0.0464248108852379,0.0693840734001082,0.0332450752802449,0.0752112531728659
"NE",0.0553600738722891,-0.00874920545400533,0.059244362089487,0.04086561367258,0.0464248108852379,0,0.128438435246242,0.00273565988606414,0.117777242760808
"NW",0.069345648339729,0.109763320446267,0.112836441629651,0.092716503075422,0.0693840734001082,0.128438435246242,0,0.0934279798092763,0.0604491769459105
"SE",0.00819738989653891,6.93175483126101e-05,0.0516054845550105,0.0097721074487334,0.0332450752802449,0.00273565988606414,0.0934279798092763,0,0.0719046635801535
"W",0.0344127139478647,0.0956528107751929,0.146718227947681,0.0766723128553418,0.0752112531728659,0.117777242760808,0.0604491769459105,0.0719046635801535,0
