"","estonia","finland","latvia","norway","poland","romania","russia","slovakia"
"estonia",0,0.0875782571140913,0.0111839640142732,0.159401207838566,0.113982082515341,0.267565651961953,0.0708063747931609,0.224728094516064
"finland",0.0875782571140913,0,0.0793440979954199,0.158111326067952,0.124072756047897,0.280486342122637,0.0286248916052377,0.24890382777072
"latvia",0.0111839640142732,0.0793440979954199,0,0.149225794671301,0.0973014858004945,0.245226112363684,0.0608681191016722,0.203210230148751
"norway",0.159401207838566,0.158111326067952,0.149225794671301,0,0.245254841629386,0.41266257486576,0.163554509298742,0.389744944969509
"poland",0.113982082515341,0.124072756047897,0.0973014858004945,0.245254841629386,0,0.320194182884081,0.144367489526586,0.315753179059332
"romania",0.267565651961953,0.280486342122637,0.245226112363684,0.41266257486576,0.320194182884081,0,0.290754219241649,0.363454092920354
"russia",0.0708063747931609,0.0286248916052377,0.0608681191016722,0.163554509298742,0.144367489526586,0.290754219241649,0,0.268465369927107
"slovakia",0.224728094516064,0.24890382777072,0.203210230148751,0.389744944969509,0.315753179059332,0.363454092920354,0.268465369927107,0
