"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8"
"sit1",0,1.84508667249774,0.512652202360872,3.91304790639989,0.735468935582089,1.31067156565453,2.81650903329106,1.10602860896614
"sit2",1.84508667249774,0,1.49167325546072,3.53107863799022,2.57980735882712,2.546212878998,1.10447929111754,2.5983725244072
"sit3",0.512652202360872,1.49167325546072,0,3.45113886928775,1.18480238466837,1.19761606210373,2.54573632338804,1.14419100245118
"sit4",3.91304790639989,3.53107863799022,3.45113886928775,0,4.31467743686147,3.06671873650646,4.30254269076183,3.43806723051545
"sit5",0.735468935582089,2.57980735882712,1.18480238466837,4.31467743686147,0,1.34747537681813,3.52847238861902,0.99644064845236
"sit6",1.31067156565453,2.546212878998,1.19761606210373,3.06671873650646,1.34747537681813,0,3.64628335203823,0.375307691459049
"sit7",2.81650903329106,1.10447929111754,2.54573632338804,4.30254269076183,3.52847238861902,3.64628335203823,0,3.67836349003824
"sit8",1.10602860896614,2.5983725244072,1.14419100245118,3.43806723051545,0.99644064845236,0.375307691459049,3.67836349003824,0
